Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt,SYSLoad,RegCP
2010-01-01,1,12657,12946,64.21,64.18,0.0,0.03,65.12,65.01,0.0,0.11,27,24,13177,7.84
2010-01-01,2,12347,12262,58.68,58.65,0.0,0.03,71.64,71.37,0.0,0.27,27,24,12474,5.5
2010-01-01,3,12111,11792,54.74,54.71,0.0,0.03,56.74,56.44,0.0,0.3,26,24,11987,5.0
2010-01-01,4,11957,11513,45.38,44.82,0.54,0.02,62.17,61.85,0.0,0.32,26,24,11731,6.5
2010-01-01,5,11959,11522,51.15,50.62,0.5,0.03,54.93,54.65,0.0,0.28,27,24,11745,7.0
2010-01-01,6,12132,11821,43.21,43.18,0.0,0.03,42.83,42.59,0.0,0.24,27,24,12045,10.33
2010-01-01,7,12167,12263,46.09,46.06,0.0,0.03,40.87,40.64,0.0,0.23,27,24,12495,7.67
2010-01-01,8,12352,12581,45.47,45.42,0.0,0.05,32.66,32.54,0.0,0.12,27,24,12814,10.0
2010-01-01,9,13100,13194,56.29,56.23,0.0,0.06,42.53,42.44,0.0,0.09,27,24,13428,11.0
2010-01-01,10,13754,13974,58.47,58.4,0.0,0.07,48.76,48.71,0.0,0.05,28,25,14210,11.0
2010-01-01,11,14325,14602,61.38,61.31,0.0,0.07,56.02,55.94,0.0,0.08,29,25,14838,6.01
2010-01-01,12,14489,14892,62.02,61.94,0.0,0.08,59.25,59.2,0.0,0.05,30,26,15136,5.0
2010-01-01,13,14213,14913,59.2,59.13,0.0,0.07,57.84,57.77,0.0,0.07,31,27,15163,5.0
2010-01-01,14,14021,14795,58.37,58.3,0.0,0.07,59.0,58.95,0.0,0.05,33,27,15035,5.0
2010-01-01,15,13798,14687,57.95,57.88,0.0,0.07,59.23,59.22,0.0,0.01,33,28,14929,5.0
2010-01-01,16,13995,14839,53.21,53.14,0.0,0.07,56.14,56.18,0.0,-0.04,34,28,15089,5.0
2010-01-01,17,15589,15997,62.55,63.14,-0.7,0.11,74.61,74.68,0.0,-0.07,34,28,16284,6.67
2010-01-01,18,16448,17028,84.27,86.3,-2.18,0.15,83.03,83.16,0.0,-0.13,33,28,17345,6.71
2010-01-01,19,16295,16820,79.61,81.39,-1.91,0.13,77.21,77.32,0.0,-0.11,32,28,17133,6.55
2010-01-01,20,15754,16336,68.47,69.92,-1.55,0.1,65.85,65.9,0.0,-0.05,31,28,16640,6.5
2010-01-01,21,15022,15797,63.16,63.34,-0.26,0.08,75.03,75.06,0.0,-0.03,31,28,16100,6.5
2010-01-01,22,13888,15027,63.42,63.35,0.0,0.07,74.0,73.91,0.0,0.09,31,28,15323,6.87
2010-01-01,23,12735,14014,54.45,54.4,0.0,0.05,65.24,65.09,0.0,0.15,31,28,14307,7.0
2010-01-01,24,11910,12945,48.64,48.61,0.0,0.03,59.15,58.99,0.0,0.16,31,28,13205,10.33
2010-01-02,1,11766,12093,54.7,54.73,0.0,-0.03,43.12,43.02,0.0,0.1,30,27,12339,11.0
2010-01-02,2,11400,11538,48.54,48.56,0.0,-0.02,49.1,48.93,0.0,0.17,30,27,11802,6.0
2010-01-02,3,11725,11273,52.82,52.84,0.0,-0.02,51.61,51.39,0.0,0.22,29,26,11511,5.0
2010-01-02,4,11699,11190,50.07,50.1,0.0,-0.03,50.54,50.31,0.0,0.23,29,25,11421,5.0
2010-01-02,5,11455,11294,41.53,41.55,0.0,-0.02,33.71,33.59,0.0,0.12,28,24,11526,5.0
2010-01-02,6,11519,11669,41.53,41.55,0.0,-0.02,36.43,36.25,0.0,0.18,27,24,11915,10.0
2010-01-02,7,11919,12352,41.91,41.91,0.0,0.0,47.55,47.34,0.0,0.21,27,23,12611,11.0
2010-01-02,8,12460,13076,53.23,53.23,0.0,0.0,62.08,61.86,0.0,0.22,27,23,13339,7.67
2010-01-02,9,13976,14032,70.15,70.14,0.0,0.01,64.56,64.44,0.0,0.12,27,23,14295,7.0
2010-01-02,10,14784,14947,68.18,68.18,0.0,0.0,64.7,64.71,0.0,-0.01,27,23,15211,7.0
2010-01-02,11,15090,15530,71.76,71.76,0.0,0.0,68.22,68.2,0.0,0.02,28,22,15777,6.63
2010-01-02,12,15129,15809,67.97,67.97,0.0,0.0,71.77,71.7,0.0,0.07,28,23,16036,6.5
2010-01-02,13,14769,15861,64.19,64.19,0.0,0.0,74.55,74.45,0.0,0.1,28,23,16087,6.5
2010-01-02,14,14454,15718,60.91,60.91,0.0,0.0,64.25,64.19,0.0,0.06,28,22,15940,6.5
2010-01-02,15,14315,15603,58.63,58.62,0.0,0.01,61.47,61.44,0.0,0.03,28,21,15827,6.92
2010-01-02,16,14472,15768,58.31,58.29,0.0,0.02,64.65,64.58,0.0,0.07,27,20,15988,6.99
2010-01-02,17,16000,16977,65.63,68.02,-2.43,0.04,90.79,90.93,0.0,-0.14,26,19,17227,6.58
2010-01-02,18,17299,18132,81.17,85.89,-4.77,0.05,135.9,136.03,0.0,-0.13,25,18,18404,8.15
2010-01-02,19,17161,18019,75.15,76.79,-1.68,0.04,108.45,108.44,0.0,0.01,23,16,18294,8.48
2010-01-02,20,16251,17547,73.54,74.54,-1.01,0.01,99.33,99.28,0.0,0.05,22,14,17824,8.48
2010-01-02,21,15439,17032,65.74,66.36,-0.63,0.01,97.78,97.71,0.0,0.07,21,13,17309,7.01
2010-01-02,22,14320,16234,64.27,64.28,0.0,-0.01,106.22,105.96,0.0,0.26,20,12,16509,17.27
2010-01-02,23,13361,15219,59.7,59.71,0.0,-0.01,92.61,92.36,0.0,0.25,21,13,15477,8.46
2010-01-02,24,12460,14170,58.59,58.61,0.0,-0.02,70.85,70.85,0.0,0.0,18,10,14388,7.0
2010-01-03,1,12038,13317,58.35,58.37,0.0,-0.02,83.57,83.55,0.0,0.02,17,9,13509,7.0
2010-01-03,2,11768,12788,58.35,58.37,0.0,-0.02,95.36,95.11,0.0,0.25,17,9,12976,7.0
2010-01-03,3,12024,12514,58.35,58.37,0.0,-0.02,197.26,196.32,0.0,0.94,16,8,12695,7.0
2010-01-03,4,12009,12392,54.35,54.38,0.0,-0.03,169.59,168.84,0.0,0.75,16,8,12565,7.0
2010-01-03,5,12061,12431,60.9,60.92,0.0,-0.02,105.72,105.26,0.0,0.46,15,8,12593,6.99
2010-01-03,6,11750,12744,53.23,53.25,0.0,-0.02,87.42,86.97,0.0,0.45,15,7,12925,6.99
2010-01-03,7,12004,13277,53.24,53.25,0.0,-0.01,150.1,149.24,0.0,0.86,15,7,13479,21.65
2010-01-03,8,12437,13823,52.61,52.61,0.0,0.0,122.32,121.86,0.0,0.46,14,8,14024,10.69
2010-01-03,9,13615,14721,66.47,66.46,0.0,0.01,189.48,188.6,0.0,0.88,15,8,14930,6.99
2010-01-03,10,14517,15603,67.01,66.99,0.0,0.02,196.74,195.97,0.0,0.77,15,9,15831,6.99
2010-01-03,11,15064,16170,65.0,64.98,0.0,0.02,278.74,277.2,0.0,1.54,16,10,16407,18.83
2010-01-03,12,15098,16546,68.46,68.44,0.0,0.02,232.42,231.19,0.0,1.23,17,11,16804,6.91
2010-01-03,13,15046,16674,68.46,68.44,0.0,0.02,214.4,213.58,0.0,0.82,19,12,16958,6.62
2010-01-03,14,14792,16590,66.23,66.21,0.0,0.02,125.84,125.48,0.0,0.36,21,13,16867,6.91
2010-01-03,15,14642,16474,63.65,63.63,0.0,0.02,97.49,97.31,0.0,0.18,21,13,16764,6.62
2010-01-03,16,14874,16687,63.65,63.63,0.0,0.02,89.16,88.98,0.0,0.18,21,14,16968,6.5
2010-01-03,17,16576,18041,74.0,74.16,-0.22,0.06,182.16,181.9,0.0,0.26,21,14,18318,6.5
2010-01-03,18,17965,19123,105.77,106.38,-0.7,0.09,97.53,101.59,-4.17,0.11,21,15,19422,6.61
