Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2011-01-01,1,2942.2,3053,38.37,38.37,0.0,0.0,41.56,41.48,0.0,0.08,33,27
2011-01-01,2,2780.0,2892,36.61,36.75,0.0,-0.14,34.91,34.82,0.0,0.09,34,27
2011-01-01,3,2652.1,2774,35.79,35.91,0.0,-0.12,35.35,35.29,0.0,0.06,34,27
2011-01-01,4,2608.6,2710,35.75,35.91,0.0,-0.16,34.1,33.97,0.0,0.13,31,27
2011-01-01,5,2624.6,2698,35.88,36.04,0.0,-0.16,33.72,33.49,0.0,0.23,30,26
2011-01-01,6,2717.5,2737,35.94,36.12,0.0,-0.18,34.16,34.11,0.0,0.05,29,25
2011-01-01,7,2894.9,2829,37.13,37.51,0.0,-0.38,33.98,33.9,0.0,0.08,29,25
2011-01-01,8,3048.9,2892,38.57,38.68,0.0,-0.11,30.13,30.02,0.0,0.11,29,26
2011-01-01,9,3194.7,3052,40.17,44.27,-4.15,0.05,32.32,32.23,0.0,0.09,29,25
2011-01-01,10,3377.6,3192,39.71,39.5,0.0,0.21,32.93,32.71,0.0,0.22,34,28
2011-01-01,11,3471.3,3295,40.56,40.22,0.0,0.34,36.25,36.06,0.0,0.19,38,29
2011-01-01,12,3491.3,3325,40.65,40.2,0.0,0.45,35.61,35.46,0.0,0.15,42,31
2011-01-01,13,3431.3,3318,40.54,40.15,0.0,0.39,34.51,34.4,0.0,0.11,45,32
2011-01-01,14,3369.3,3269,39.35,39.0,0.0,0.35,27.02,26.9,0.0,0.12,48,34
2011-01-01,15,3297.8,3250,38.58,38.28,0.0,0.3,22.08,21.95,0.0,0.13,50,35
2011-01-01,16,3294.0,3319,38.8,38.54,0.0,0.26,25.22,25.01,0.0,0.21,50,34
2011-01-01,17,3508.8,3628,41.33,42.83,-2.01,0.51,37.12,36.57,0.0,0.55,49,35
2011-01-01,18,3833.2,3892,55.93,54.96,0.0,0.97,43.92,43.09,0.0,0.83,47,35
2011-01-01,19,3869.5,3858,52.52,51.56,0.0,0.96,39.78,39.06,0.0,0.72,47,36
2011-01-01,20,3735.9,3757,46.05,45.05,0.15,0.85,38.46,37.84,0.0,0.62,45,36
2011-01-01,21,3606.5,3634,40.92,40.29,0.0,0.63,37.09,36.54,0.0,0.55,44,36
2011-01-01,22,3440.5,3471,39.54,39.05,0.0,0.49,36.95,36.45,0.0,0.5,44,36
2011-01-01,23,3213.1,3238,39.86,39.47,0.0,0.39,35.38,35.08,0.0,0.3,43,36
2011-01-01,24,2904.0,2988,37.12,37.38,0.0,-0.26,34.59,34.53,0.0,0.06,43,38
2011-01-02,1,2844.5,2735,37.77,37.76,0.0,0.01,30.13,29.98,0.0,0.15,44,40
2011-01-02,2,2686.9,2580,35.97,36.02,0.0,-0.05,22.98,22.9,0.0,0.08,44,40
2011-01-02,3,2591.9,2495,34.29,34.38,0.0,-0.09,19.93,19.87,0.0,0.06,43,41
2011-01-02,4,2543.9,2456,32.86,32.93,0.0,-0.07,8.28,8.26,0.0,0.02,43,41
2011-01-02,5,2559.5,2471,32.91,32.97,0.0,-0.06,1.65,1.65,0.0,0.0,43,41
2011-01-02,6,2602.7,2523,35.0,35.18,0.0,-0.18,0.0,0.0,0.0,0.0,42,41
2011-01-02,7,2739.9,2638,35.68,36.01,0.0,-0.33,0.0,0.0,0.0,0.0,42,41
2011-01-02,8,2713.0,2778,37.97,38.15,0.0,-0.18,30.97,30.95,0.0,0.02,42,41
2011-01-02,9,2942.8,3010,39.34,39.23,0.0,0.11,45.91,45.72,0.0,0.19,40,39
2011-01-02,10,3298.4,3238,40.09,39.95,0.0,0.14,39.68,39.43,0.0,0.25,42,41
2011-01-02,11,3414.7,3364,40.59,40.18,0.0,0.41,41.66,41.56,0.0,0.1,44,42
2011-01-02,12,3466.0,3441,41.02,40.44,0.0,0.58,41.39,41.15,0.0,0.24,46,43
2011-01-02,13,3473.1,3480,40.68,40.17,0.0,0.51,40.36,40.0,0.0,0.36,48,43
2011-01-02,14,3435.3,3458,40.16,39.73,0.0,0.43,38.9,38.6,0.0,0.3,47,43
2011-01-02,15,3424.4,3434,39.45,39.06,0.0,0.39,37.87,37.58,0.0,0.29,48,42
