Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2013-01-01,1,732.3,817,79.61,79.34,0.0,0.27,99.43,98.56,0.0,0.87,35,21
2013-01-01,2,714.7,776,66.05,65.81,0.0,0.24,120.22,119.2,0.0,1.02,35,22
2013-01-01,3,674.9,744,68.58,68.47,0.0,0.11,35.69,35.41,0.0,0.28,35,22
2013-01-01,4,634.8,726,50.09,50.01,0.0,0.08,32.99,32.61,0.0,0.38,35,22
2013-01-01,5,641.4,726,51.55,51.47,0.0,0.08,35.64,35.14,0.0,0.5,34,22
2013-01-01,6,702.1,744,50.92,50.75,0.0,0.17,35.71,35.2,0.0,0.51,33,22
2013-01-01,7,717.3,769,76.63,76.47,0.0,0.16,34.89,34.41,0.0,0.48,33,23
2013-01-01,8,727.6,789,65.23,65.01,0.0,0.22,23.62,23.24,0.0,0.38,34,24
2013-01-01,9,691.3,817,75.16,75.1,0.0,0.06,42.47,41.83,0.0,0.64,34,24
2013-01-01,10,733.2,866,77.88,78.08,0.0,-0.2,47.04,46.5,0.0,0.54,35,24
2013-01-01,11,806.3,909,93.65,93.56,0.0,0.09,55.15,54.49,0.0,0.66,37,25
2013-01-01,12,957.0,941,100.97,100.31,0.0,0.66,60.68,60.02,0.0,0.66,36,20
2013-01-01,13,947.7,951,101.02,100.37,0.0,0.65,73.81,73.04,0.0,0.77,36,18
2013-01-01,14,925.5,947,98.1,97.58,0.0,0.52,58.19,57.55,0.0,0.64,35,17
2013-01-01,15,872.7,946,93.45,93.09,0.0,0.36,40.89,40.57,0.0,0.32,35,17
2013-01-01,16,948.1,965,80.4,80.32,0.0,0.08,65.47,65.36,0.0,0.11,34,16
2013-01-01,17,980.3,1053,117.67,117.22,0.0,0.45,129.23,129.51,0.0,-0.28,33,15
2013-01-01,18,810.9,1140,156.71,156.7,0.0,0.01,126.56,126.61,0.0,-0.05,31,11
2013-01-01,19,820.7,1143,147.33,148.11,-1.08,0.3,179.04,179.2,0.0,-0.16,29,10
2013-01-01,20,883.2,1119,134.11,133.79,0.0,0.32,137.19,137.12,0.0,0.07,28,10
2013-01-01,21,858.1,1079,125.52,125.28,0.0,0.24,128.32,128.24,0.0,0.08,28,10
2013-01-01,22,913.5,1013,109.96,109.69,0.0,0.27,96.32,96.25,0.0,0.07,26,10
2013-01-01,23,846.2,920,100.39,100.7,0.0,-0.31,70.23,69.98,0.0,0.25,25,8
2013-01-01,24,789.2,845,83.84,83.83,0.0,0.01,62.74,62.22,0.0,0.52,24,6
2013-01-02,1,817.4,796,78.86,78.57,0.0,0.29,65.42,64.93,0.0,0.49,22,6
2013-01-02,2,793.6,772,58.43,58.22,0.0,0.21,49.05,48.7,0.0,0.35,21,5
2013-01-02,3,780.7,760,62.15,61.94,0.0,0.21,36.92,36.62,0.0,0.3,20,5
2013-01-02,4,774.6,764,61.48,61.29,0.0,0.19,35.67,35.33,0.0,0.34,19,5
2013-01-02,5,643.8,788,61.75,61.79,0.0,-0.04,27.77,27.49,0.0,0.28,18,6
2013-01-02,6,595.7,854,80.03,80.35,0.0,-0.32,60.44,60.08,0.0,0.36,17,6
2013-01-02,7,597.7,982,118.6,119.35,0.0,-0.75,114.77,114.82,0.0,-0.05,16,7
2013-01-02,8,884.4,1059,123.69,124.01,0.0,-0.32,116.56,116.85,0.0,-0.29,16,7
2013-01-02,9,924.6,1084,124.1,123.98,0.0,0.12,113.21,113.59,0.0,-0.38,17,6
2013-01-02,10,952.2,1100,123.07,122.68,0.0,0.39,111.4,111.85,0.0,-0.45,20,7
2013-01-02,11,969.5,1104,124.75,124.47,0.0,0.28,109.9,109.7,0.0,0.2,23,7
2013-01-02,12,1114.8,1101,118.77,118.12,0.0,0.65,110.29,109.67,0.0,0.62,26,9
2013-01-02,13,1098.0,1093,111.74,111.17,0.0,0.57,107.44,106.77,0.0,0.67,28,10
2013-01-02,14,1068.7,1086,106.53,105.91,0.0,0.62,104.07,103.29,0.0,0.78,29,11
2013-01-02,15,1065.0,1093,103.57,102.97,0.0,0.6,99.15,98.59,0.0,0.56,30,11
2013-01-02,16,1083.4,1108,103.57,103.28,0.0,0.29,97.12,96.95,0.0,0.17,30,11
2013-01-02,17,1066.8,1180,124.37,124.32,0.0,0.05,105.6,105.9,0.0,-0.3,29,10
2013-01-02,18,1078.4,1266,130.19,129.76,0.0,0.43,110.51,111.04,0.0,-0.53,28,10
2013-01-02,19,1061.3,1263,128.14,127.86,0.0,0.28,112.33,113.14,0.0,-0.81,27,11
2013-01-02,20,1032.9,1232,125.8,125.58,0.0,0.22,116.6,117.45,0.0,-0.85,26,9
2013-01-02,21,1133.0,1180,123.48,122.96,0.0,0.52,108.15,109.04,0.0,-0.89,25,9
2013-01-02,22,1055.7,1107,112.94,112.61,0.0,0.33,104.51,105.3,0.0,-0.79,24,9
2013-01-02,23,940.0,1000,106.0,106.0,0.0,0.0,110.81,111.16,0.0,-0.35,23,10
2013-01-02,24,868.9,917,71.22,70.9,0.0,0.32,118.26,118.01,0.0,0.25,20,7
2013-01-03,1,830.5,858,61.3,61.37,0.0,-0.07,95.33,95.25,0.0,0.08,19,6
2013-01-03,2,799.2,829,50.9,50.93,0.0,-0.03,93.25,93.24,0.0,0.01,17,5
2013-01-03,3,787.3,816,47.94,47.97,0.0,-0.03,64.98,64.84,0.0,0.14,16,2
2013-01-03,4,784.5,819,47.9,47.92,0.0,-0.02,60.48,60.31,0.0,0.17,14,1
2013-01-03,5,751.2,844,50.66,50.74,0.0,-0.08,70.8,70.59,0.0,0.21,12,-1
2013-01-03,6,713.4,911,66.14,66.47,0.0,-0.33,92.87,92.71,0.0,0.16,11,-3
2013-01-03,7,724.8,1036,92.64,93.46,0.0,-0.82,198.11,197.76,0.0,0.35,10,-6
2013-01-03,8,801.7,1115,102.07,102.77,0.0,-0.7,147.58,148.2,0.0,-0.62,10,-5
2013-01-03,9,838.0,1133,105.6,106.32,0.0,-0.72,104.84,105.36,0.0,-0.52,9,-5
2013-01-03,10,916.7,1144,94.38,94.68,0.0,-0.3,96.59,96.87,0.0,-0.28,11,-6
