Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,DryBulb,DewPnt
2018-01-01,1,657.9,709.053,125.24,124.97,0.0,0.27,143.85,144.52,0.24,-0.91,-6,-12
2018-01-01,2,640.3,682.989,124.12,123.7,0.0,0.42,132.16,132.67,0.1,-0.61,-7,-13
2018-01-01,3,624.7,665.689,124.08,123.58,0.0,0.5,131.35,132.06,0.0,-0.71,-6,-15
2018-01-01,4,617.4,658.92,124.1,123.77,0.0,0.33,139.78,140.24,0.0,-0.46,-7,-16
2018-01-01,5,619.9,663.092,124.18,124.1,0.0,0.08,134.65,135.42,0.0,-0.77,-9,-16
2018-01-01,6,632.0,676.847,123.56,123.78,0.0,-0.22,133.16,133.97,0.0,-0.81,-8,-15
2018-01-01,7,649.2,701.865,128.32,129.89,0.0,-1.57,129.27,130.19,0.0,-0.92,-11,-16
2018-01-01,8,682.2,733.989,135.34,135.11,0.0,0.23,125.42,126.57,0.0,-1.15,-13,-19
2018-01-01,9,698.0,770.212,144.83,145.24,0.0,-0.41,131.38,132.82,0.0,-1.44,-13,-20
2018-01-01,10,703.9,797.426,177.26,176.4,0.0,0.86,192.34,193.48,0.0,-1.14,-11,-17
2018-01-01,11,696.6,808.683,165.76,164.88,0.0,0.88,184.13,184.77,0.0,-0.64,-6,-14
2018-01-01,12,684.3,805.873,171.66,171.06,0.0,0.6,158.5,158.82,0.0,-0.32,0,-11
2018-01-01,13,672.5,796.614,162.71,162.16,0.0,0.55,146.69,146.93,0.0,-0.24,2,-12
2018-01-01,14,666.3,784.634,158.05,157.48,0.0,0.57,137.38,137.56,0.0,-0.18,3,-11
2018-01-01,15,677.4,781.554,149.44,148.53,0.0,0.91,129.68,129.76,0.0,-0.08,2,-8
2018-01-01,16,715.0,800.066,154.28,154.08,0.0,0.2,137.91,137.99,0.0,-0.08,3,-10
2018-01-01,17,779.8,847.314,192.61,190.38,0.0,2.23,153.31,153.51,0.0,-0.2,1,-12
2018-01-01,18,587.1,889.69,213.77,218.24,0.0,-4.47,170.13,171.09,0.0,-0.96,0,-12
2018-01-01,19,585.1,878.898,206.85,210.24,0.0,-3.39,169.01,170.2,0.0,-1.19,-2,-12
2018-01-01,20,835.0,857.768,197.45,196.21,0.0,1.24,158.28,159.26,0.0,-0.98,-5,-12
2018-01-01,21,815.6,827.704,166.22,165.24,0.0,0.98,162.97,163.34,0.0,-0.37,-8,-13
2018-01-01,22,779.7,793.018,166.55,165.06,0.0,1.49,156.7,157.18,0.0,-0.48,-8,-14
2018-01-01,23,699.1,749.136,158.31,158.15,0.0,0.16,140.02,140.22,0.0,-0.2,-8,-14
2018-01-01,24,661.4,708.211,156.53,156.84,0.0,-0.31,71.82,72.05,0.0,-0.23,-8,-14
2018-01-02,1,669.2,678.487,143.8,144.81,0.0,-1.01,130.23,130.53,0.0,-0.3,-7,-13
2018-01-02,2,663.2,664.699,134.16,133.91,0.0,0.25,123.01,123.45,0.0,-0.44,-8,-14
2018-01-02,3,655.8,660.789,130.83,130.79,0.0,0.04,110.04,110.85,0.0,-0.81,-10,-16
2018-01-02,4,657.7,664.834,130.38,130.16,0.0,0.22,121.72,122.81,0.0,-1.09,-10,-16
2018-01-02,5,674.5,680.564,136.56,136.13,0.0,0.43,127.35,128.27,0.0,-0.92,-10,-17
2018-01-02,6,734.5,728.106,158.75,157.63,0.0,1.12,152.01,152.45,0.0,-0.44,-13,-18
2018-01-02,7,797.0,802.615,184.87,182.65,0.0,2.22,228.12,228.21,0.0,-0.09,-12,-19
2018-01-02,8,569.3,858.704,200.18,204.14,0.0,-3.96,187.43,187.16,0.0,0.27,-14,-21
2018-01-02,9,671.8,872.489,200.0,200.11,0.0,-0.11,165.85,165.15,0.0,0.7,-13,-19
2018-01-02,10,779.7,865.721,200.0,199.99,0.0,0.01,153.84,153.13,0.0,0.71,-10,-16
2018-01-02,11,563.3,858.574,200.19,198.86,0.0,1.33,159.1,157.96,0.0,1.14,0,-8
2018-01-02,12,745.6,854.97,195.38,193.57,0.0,1.81,149.71,148.3,0.0,1.41,2,-7
2018-01-02,13,735.6,855.653,167.23,167.11,0.0,0.12,151.53,148.97,0.0,2.56,4,-7
2018-01-02,14,712.8,853.59,158.97,157.45,0.0,1.52,153.36,151.04,0.0,2.32,6,-6
2018-01-02,15,725.6,855.222,151.55,151.56,0.0,-0.01,152.54,150.97,0.0,1.57,9,-4
2018-01-02,16,734.6,858.644,154.03,152.57,0.0,1.46,149.32,148.06,0.0,1.26,10,0
2018-01-02,17,805.4,885.425,186.22,184.95,0.0,1.27,168.84,167.78,0.0,1.06,11,1
2018-01-02,18,548.2,919.635,211.28,217.6,0.0,-6.32,170.88,171.36,0.0,-0.48,12,3
2018-01-02,19,553.6,914.265,204.21,208.86,0.0,-4.65,170.56,171.0,0.0,-0.44,13,5
2018-01-02,20,780.3,885.383,197.01,195.78,0.0,1.23,179.94,179.64,0.0,0.3,15,8
2018-01-02,21,770.4,852.221,183.55,181.0,0.0,2.55,162.19,161.04,0.06,1.09,17,10
2018-01-02,22,743.4,811.216,166.43,166.51,0.0,-0.08,126.24,125.13,0.21,0.9,17,12
2018-01-02,23,644.0,757.888,158.53,158.04,0.0,0.49,119.19,118.72,0.2,0.27,18,11
2018-01-02,24,658.7,706.772,134.66,136.5,0.0,-1.84,121.07,120.88,0.2,-0.01,18,10
2018-01-03,1,658.2,674.034,125.52,125.15,0.0,0.37,126.01,125.91,0.21,-0.11,19,9
2018-01-03,2,629.8,655.835,124.79,124.21,0.0,0.58,124.32,124.16,0.13,0.03,19,8
2018-01-03,3,627.6,647.934,119.09,119.78,0.0,-0.69,116.98,117.19,0.05,-0.26,19,9
2018-01-03,4,611.7,647.914,119.23,120.04,0.0,-0.81,128.43,128.53,0.0,-0.1,18,8
2018-01-03,5,618.3,662.336,122.53,123.79,0.0,-1.26,126.46,126.54,0.09,-0.17,17,7
2018-01-03,6,679.7,707.404,130.9,131.06,0.0,-0.16,156.66,156.52,0.27,-0.13,17,7
2018-01-03,7,655.8,792.129,200.0,198.75,0.0,1.25,211.98,211.96,0.37,-0.35,17,7
2018-01-03,8,809.4,836.01,193.97,194.42,0.0,-0.45,236.63,237.24,0.25,-0.86,16,6
2018-01-03,9,801.8,846.067,193.16,193.11,0.0,0.05,197.53,198.62,0.0,-1.09,16,6
2018-01-03,10,746.2,830.289,188.02,187.18,0.0,0.84,179.96,180.15,0.0,-0.19,16,5
2018-01-03,11,702.2,819.144,187.97,187.69,0.0,0.28,152.33,151.84,0.0,0.49,17,5
2018-01-03,12,680.7,805.506,175.75,175.52,0.0,0.23,166.65,166.08,0.0,0.57,18,5
2018-01-03,13,641.0,778.941,152.85,153.08,0.0,-0.23,132.71,132.12,0.0,0.59,20,5
2018-01-03,14,640.0,770.621,147.16,147.21,0.0,-0.05,137.35,137.43,0.0,-0.08,21,4
2018-01-03,15,663.8,773.864,143.63,143.83,0.0,-0.2,145.06,145.52,0.0,-0.46,22,3
2018-01-03,16,683.1,792.193,141.63,142.53,0.0,-0.9,149.74,150.35,0.0,-0.61,22,2
2018-01-03,17,776.3,838.347,197.22,196.37,0.0,0.85,157.91,159.02,0.0,-1.11,23,2
2018-01-03,18,569.8,884.623,211.37,217.88,0.0,-6.51,163.52,165.44,0.0,-1.92,21,1
2018-01-03,19,574.9,884.494,200.91,205.06,0.0,-4.15,166.47,168.64,0.0,-2.17,20,0
2018-01-03,20,768.6,863.987,192.39,192.49,0.0,-0.1,169.02,171.1,0.0,-2.08,21,1
2018-01-03,21,764.0,836.054,167.91,167.07,0.0,0.84,162.46,163.87,0.0,-1.41,20,1
2018-01-03,22,705.2,800.622,154.13,153.76,0.0,0.37,158.48,159.04,0.0,-0.56,18,2
2018-01-03,23,665.6,747.491,143.29,143.13,0.0,0.16,151.31,151.89,0.0,-0.58,19,1
2018-01-03,24,615.7,699.223,125.13,125.82,0.0,-0.69,138.15,138.63,0.0,-0.48,19,1
2018-01-04,1,655.8,670.306,112.41,112.45,0.0,-0.04,134.63,135.26,0.0,-0.63,19,0
2018-01-04,2,643.6,655.366,109.98,109.88,0.0,0.1,136.67,136.63,0.0,0.04,17,-1
2018-01-04,3,620.1,646.691,99.29,98.33,0.0,0.96,134.37,134.03,0.0,0.34,13,0
2018-01-04,4,619.6,648.348,95.37,95.24,0.0,0.13,125.89,125.53,0.0,0.36,11,2
2018-01-04,5,632.5,661.082,109.96,109.8,0.0,0.16,126.12,125.87,0.0,0.25,13,5
2018-01-04,6,671.3,703.198,124.67,124.54,0.0,0.13,124.68,124.08,0.0,0.6,14,6
2018-01-04,7,775.4,780.125,145.11,144.67,0.0,0.44,84.29,83.79,0.0,0.5,14,6
2018-01-04,8,813.2,831.725,162.12,159.43,0.0,2.69,123.73,122.69,0.0,1.04,15,5
2018-01-04,9,788.5,836.874,159.71,157.43,0.0,2.28,142.72,140.83,0.47,1.42,15,6
2018-01-04,10,783.8,842.197,162.41,159.92,0.0,2.49,194.59,190.3,2.38,1.91,16,7
2018-01-04,11,769.7,850.867,173.11,170.76,0.0,2.35,237.87,234.97,0.5,2.4,18,5
2018-01-04,12,757.6,858.915,160.72,158.76,0.02,1.94,303.14,302.05,0.05,1.04,18,10
2018-01-04,13,734.8,856.076,158.24,157.94,0.07,0.23,303.34,301.62,2.58,-0.86,17,12
2018-01-04,14,750.3,857.402,155.29,153.87,0.08,1.34,259.86,264.1,-3.1,-1.14,16,11
2018-01-04,15,742.2,848.916,152.53,152.56,0.08,-0.11,271.21,277.61,-3.81,-2.59,15,10
2018-01-04,16,759.3,843.293,154.19,153.77,0.08,0.34,288.39,297.42,-5.45,-3.58,15,10
2018-01-04,17,802.7,866.961,195.45,192.79,0.13,2.53,298.52,306.17,-3.19,-4.46,16,11
2018-01-04,18,556.2,896.194,210.04,212.89,0.15,-3.0,350.52,361.28,-4.06,-6.7,17,12
2018-01-04,19,555.9,888.656,201.49,200.62,0.14,0.73,309.35,318.38,-4.25,-4.78,17,13
2018-01-04,20,761.0,854.652,184.61,183.95,0.11,0.55,290.74,298.65,-4.28,-3.63,19,14
2018-01-04,21,738.6,828.599,172.64,170.23,0.1,2.31,237.28,242.45,-3.22,-1.95,20,15
2018-01-04,22,711.2,781.386,152.67,151.34,0.09,1.24,172.43,175.93,-1.99,-1.51,20,15
2018-01-04,23,632.2,730.19,147.31,147.47,0.09,-0.25,134.41,136.37,-1.1,-0.86,20,13
2018-01-04,24,589.3,681.844,140.39,142.69,0.1,-2.4,142.07,146.42,-2.7,-1.65,17,9
2018-01-05,1,597.8,655.999,140.61,141.84,0.18,-1.41,180.16,186.83,-4.54,-2.13,14,5
2018-01-05,2,576.6,641.855,141.53,142.48,0.21,-1.16,161.0,166.76,-3.99,-1.77,11,1
2018-01-05,3,571.4,634.533,140.71,141.42,0.21,-0.92,154.7,158.31,-1.85,-1.76,9,-1
2018-01-05,4,561.5,634.225,142.18,144.06,0.22,-2.1,132.54,135.27,-1.16,-1.57,8,-1
2018-01-05,5,576.0,649.47,142.85,143.95,0.22,-1.32,147.62,150.95,-1.52,-1.81,6,-1
2018-01-05,6,644.6,684.893,156.71,157.7,0.21,-1.2,135.03,139.99,-2.94,-2.02,4,-3
2018-01-05,7,716.4,747.289,248.21,249.1,0.32,-1.21,221.25,229.46,-5.9,-2.31,3,-3
2018-01-05,8,778.0,790.783,248.6,247.43,0.28,0.89,416.34,432.16,-12.28,-3.54,1,-8
2018-01-05,9,771.2,825.585,230.17,229.1,0.24,0.83,311.53,322.64,-6.08,-5.03,0,-9
2018-01-05,10,763.5,844.174,249.67,248.26,0.29,1.12,264.77,276.1,-5.78,-5.55,-1,-10
2018-01-05,11,522.2,848.69,250.32,248.61,0.29,1.42,295.35,296.97,3.93,-5.55,-2,-10
2018-01-05,12,744.2,850.265,238.19,236.69,0.27,1.23,351.3,362.07,-6.46,-4.31,-2,-11
2018-01-05,13,739.6,849.906,244.09,242.65,0.29,1.15,330.66,334.72,-0.93,-3.13,-2,-12
2018-01-05,14,747.5,849.785,211.65,211.49,0.24,-0.08,297.5,297.87,2.57,-2.94,-1,-12
2018-01-05,15,754.7,847.138,206.51,206.21,0.23,0.07,375.79,382.97,-4.03,-3.15,-1,-11
2018-01-05,16,772.4,853.366,223.96,223.55,0.26,0.15,280.95,287.52,-3.28,-3.29,-1,-12
2018-01-05,17,539.1,870.619,250.56,253.73,0.31,-3.48,316.4,321.19,0.5,-5.29,-1,-13
2018-01-05,18,542.7,907.566,299.75,307.06,0.39,-7.7,376.96,392.51,-6.91,-8.64,-1,-13
2018-01-05,19,546.9,899.621,291.87,298.75,0.37,-7.25,292.43,303.79,-4.34,-7.02,-2,-14
2018-01-05,20,548.5,872.958,260.89,266.39,0.32,-5.82,257.07,267.03,-3.81,-6.15,-2,-13
2018-01-05,21,807.8,841.402,247.86,248.66,0.29,-1.09,335.52,346.03,-5.35,-5.16,-2,-12
2018-01-05,22,772.4,816.9,224.08,224.14,0.26,-0.32,312.53,321.0,-4.78,-3.69,-2,-13
2018-01-05,23,704.6,774.219,202.92,202.3,0.22,0.4,345.55,355.39,-4.45,-5.39,-2,-14
