Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
2019-01-01,1,1007.9,1064.879,25.52,25.57,0.02,-0.07,35.300000000000004,35.42,0.04,-0.16,33,32
2019-01-01,2,970.3,1009.449,20.39,20.44,0.01,-0.06,38.18,38.38,0.0,-0.2,33,32
2019-01-01,3,964.9,972.974,18.81,18.84,0.01,-0.04,20.97,21.09,0.0,-0.12,34,32
2019-01-01,4,967.4,954.669,19.03,19.09,0.01,-0.07,18.22,18.29,0.03,-0.1,34,33
2019-01-01,5,959.4,957.585,17.73,17.78,0.0,-0.05,7.46,7.48,0.01,-0.03,33,32
2019-01-01,6,1004.0,988.294,20.16,20.2,0.01,-0.05,17.73,17.77,0.03,-0.07,33,32
2019-01-01,7,1089.1,1034.01,20.61,20.62,0.0,-0.01,10.700000000000001,10.71,0.02,-0.03,32,32
2019-01-01,8,1179.4,1084.273,22.96,22.98,0.0,-0.02,-44.230000000000004,-44.300000000000004,0.0,0.07,34,32
2019-01-01,9,1242.6,1152.971,23.66,23.740000000000002,0.01,-0.09,-19.69,-19.7,0.0,0.01,32,32
2019-01-01,10,1296.6,1214.633,22.38,22.39,0.0,-0.01,19.25,19.28,0.04,-0.07,33,33
2019-01-01,11,1314.4,1245.403,25.240000000000002,25.28,0.0,-0.04,12.120000000000001,12.16,0.0,-0.04,36,36
2019-01-01,12,1310.8,1265.974,25.76,25.63,0.0,0.13,2.5500000000000003,2.56,0.0,-0.01,47,40
2019-01-01,13,1321.1,1280.532,25.75,25.62,0.0,0.13,11.33,11.31,0.0,0.02,46,34
2019-01-01,14,1295.5,1279.658,25.47,25.38,0.01,0.08,11.27,11.22,0.02,0.03,45,31
2019-01-01,15,1294.8,1287.908,25.45,25.330000000000002,0.01,0.11,18.05,17.990000000000002,0.04,0.02,41,29
2019-01-01,16,1335.4,1316.347,24.54,24.38,0.02,0.14,16.27,16.22,0.03,0.02,39,28
2019-01-01,17,1440.2,1433.082,26.22,26.09,0.02,0.11,18.240000000000002,18.21,0.04,-0.01,37,27
2019-01-01,18,1546.8,1531.645,37.62,37.32,0.04,0.26,25.1,24.990000000000002,0.06,0.05,36,26
2019-01-01,19,1524.0,1507.475,33.74,33.46,0.03,0.25,22.78,22.71,0.05,0.02,35,25
2019-01-01,20,1460.7,1456.446,29.13,28.91,0.02,0.2,22.12,22.06,0.05,0.01,33,22
2019-01-01,21,1382.5,1383.813,25.89,25.79,0.02,0.08,23.330000000000002,23.31,0.05,-0.03,32,20
2019-01-01,22,1295.7,1287.208,24.990000000000002,24.900000000000002,0.02,0.07,20.150000000000002,20.16,0.04,-0.05,30,18
2019-01-01,23,1198.4,1182.324,24.400000000000002,24.43,0.02,-0.05,19.04,19.080000000000002,0.03,-0.07,29,18
2019-01-01,24,1109.9,1102.797,23.66,23.66,0.02,-0.02,17.75,17.76,0.03,-0.04,27,13
2019-01-02,1,1068.2,1057.641,24.51,24.51,0.03,-0.03,3.63,3.64,0.0,-0.01,26,13
2019-01-02,2,1006.7,1045.957,23.36,23.36,0.03,-0.03,0.5700000000000001,0.56,0.01,0.0,24,14
2019-01-02,3,1019.7,1043.715,19.98,19.98,0.02,-0.02,18.81,18.76,0.02,0.03,23,14
2019-01-02,4,1038.8,1057.518,21.93,21.91,0.02,0.0,22.48,22.45,0.0,0.03,22,12
2019-01-02,5,1092.2,1101.23,24.85,24.76,0.02,0.07,18.79,18.75,0.0,0.04,22,12
2019-01-02,6,1244.3,1227.521,29.38,29.18,0.03,0.17,16.67,16.59,0.0,0.08,21,11
2019-01-02,7,1416.4,1413.54,32.57,32.28,0.01,0.28,29.98,29.7,0.0,0.28,21,10
2019-01-02,8,1540.7,1509.82,29.54,29.09,0.0,0.45,30.810000000000002,30.490000000000002,0.0,0.32,21,11
2019-01-02,9,1580.7,1515.358,28.82,28.32,0.0,0.5,25.87,25.62,0.0,0.25,19,9
2019-01-02,10,1531.1,1504.011,26.02,25.64,0.0,0.38,22.22,22.02,0.0,0.2,21,10
2019-01-02,11,1429.3,1495.806,30.63,30.18,0.0,0.45,24.740000000000002,24.47,0.0,0.27,24,8
2019-01-02,12,1452.8,1483.009,27.34,26.88,0.0,0.46,25.650000000000002,25.36,0.0,0.29,26,8
2019-01-02,13,1405.6,1466.029,25.97,25.580000000000002,0.0,0.39,24.35,24.07,0.0,0.28,29,4
2019-01-02,14,1404.9,1465.511,26.14,25.810000000000002,0.0,0.33,24.990000000000002,24.71,0.0,0.28,30,3
2019-01-02,15,1440.3,1472.19,27.48,27.03,0.0,0.45,25.96,25.66,0.0,0.3,32,4
2019-01-02,16,1487.4,1508.315,31.04,30.5,0.0,0.54,30.8,30.39,0.0,0.41000000000000003,30,1
2019-01-02,17,1640.8,1615.066,42.33,41.59,0.0,0.74,36.67,36.15,0.0,0.52,28,2
2019-01-02,18,1738.8,1713.136,62.96,61.730000000000004,0.0,1.23,40.45,39.89,0.0,0.56,27,3
2019-01-02,19,1728.8,1705.759,61.58,60.42,0.0,1.16,69.23,68.24,0.0,0.99,22,11
2019-01-02,20,1671.4,1654.49,55.1,54.13,0.0,0.97,33.86,33.45,0.0,0.41000000000000003,20,10
2019-01-02,21,1581.7,1579.332,46.99,46.22,0.0,0.77,29.240000000000002,28.94,0.0,0.3,21,15
2019-01-02,22,1484.6,1458.094,39.01,38.5,0.0,0.51,28.900000000000002,28.66,0.0,0.24,22,14
2019-01-02,23,1308.7,1324.271,34.160000000000004,33.8,0.0,0.36,26.080000000000002,25.830000000000002,0.0,0.25,24,12
2019-01-02,24,1226.7,1215.274,26.03,25.72,0.0,0.31,25.080000000000002,24.830000000000002,0.01,0.24,25,13
2019-01-03,1,1155.3,1151.253,34.24,33.78,0.0,0.46,25.41,25.150000000000002,0.01,0.25,26,14
2019-01-03,2,1111.5,1115.506,31.12,30.740000000000002,0.0,0.38,24.14,23.89,0.01,0.24,26,14
2019-01-03,3,1100.5,1101.507,28.29,27.98,0.0,0.31,22.92,22.71,0.01,0.2,27,16
2019-01-03,4,1124.4,1107.983,28.51,28.16,0.0,0.35000000000000003,20.830000000000002,20.67,0.0,0.16,26,20
2019-01-03,5,1149.7,1143.521,31.17,30.76,0.0,0.41000000000000003,21.37,21.17,0.03,0.17,25,23
2019-01-03,6,1253.7,1251.169,38.64,38.02,0.0,0.62,25.96,25.650000000000002,0.05,0.26,25,25
2019-01-03,7,1411.9,1414.183,48.300000000000004,47.54,0.0,0.76,34.550000000000004,34.13,0.03,0.39,26,24
2019-01-03,8,1509.5,1497.565,48.27,47.49,0.0,0.78,33.34,32.95,0.02,0.37,26,24
2019-01-03,9,1539.3,1513.312,43.67,42.97,0.0,0.7000000000000001,35.980000000000004,35.52,0.06,0.4,26,25
2019-01-03,10,1517.1,1510.366,43.57,44.22,-1.53,0.88,39.89,39.300000000000004,0.06,0.53,28,26
2019-01-03,11,1465.7,1497.526,38.97,42.730000000000004,-4.53,0.77,41.79,41.12,0.02,0.65,28,25
2019-01-03,12,1464.0,1477.082,35.06,34.46,0.0,0.6,27.32,26.89,0.0,0.43,30,26
2019-01-03,13,1446.7,1447.086,28.69,28.17,0.0,0.52,24.86,24.51,0.0,0.35000000000000003,31,26
2019-01-03,14,1411.4,1438.192,27.67,27.28,0.0,0.39,25.27,24.95,0.0,0.32,35,28
2019-01-03,15,1391.6,1431.842,27.67,27.3,0.0,0.37,28.93,28.59,0.0,0.34,38,29
2019-01-03,16,1416.4,1451.376,27.61,27.18,0.0,0.43,32.94,32.51,0.0,0.43,38,29
2019-01-03,17,1494.2,1543.225,33.12,32.74,0.0,0.38,38.76,38.34,0.0,0.42,36,28
2019-01-03,18,1640.1,1631.275,44.6,43.95,0.0,0.65,28.150000000000002,27.88,0.0,0.27,35,29
2019-01-03,19,1601.3,1620.748,41.71,41.15,0.0,0.56,30.88,30.55,0.0,0.33,35,28
2019-01-03,20,1515.8,1569.513,39.79,39.22,0.0,0.5700000000000001,25.59,25.28,0.0,0.31,34,27
2019-01-03,21,1461.9,1496.879,34.03,33.57,0.0,0.46,25.29,25.0,0.0,0.29,34,26
2019-01-03,22,1393.2,1381.907,29.54,29.11,0.0,0.43,26.11,25.810000000000002,0.0,0.3,34,24
2019-01-03,23,1263.8,1250.195,25.96,25.75,0.0,0.21,23.26,23.07,0.0,0.19,33,24
2019-01-03,24,1170.6,1144.728,25.12,24.88,0.0,0.24,21.53,21.43,0.0,0.1,33,24
2019-01-04,1,1085.4,1079.147,22.240000000000002,22.14,0.0,0.1,19.61,19.57,0.0,0.04,33,25
2019-01-04,2,1065.3,1044.144,22.96,22.88,0.0,0.08,21.55,21.5,0.0,0.05,33,25
2019-01-04,3,1046.4,1027.514,22.2,22.12,0.0,0.08,20.53,20.490000000000002,0.0,0.04,32,25
2019-01-04,4,1027.5,1032.543,22.19,22.11,0.0,0.08,21.36,21.32,0.0,0.04,32,24
2019-01-04,5,1066.4,1073.784,22.29,22.21,0.0,0.08,22.23,22.18,0.0,0.05,32,24
2019-01-04,6,1204.0,1180.703,29.88,29.69,0.0,0.19,28.0,27.900000000000002,0.0,0.1,31,24
2019-01-04,7,1355.6,1353.699,29.28,29.05,0.0,0.23,25.29,25.240000000000002,0.01,0.04,32,24
2019-01-04,8,1470.4,1440.123,31.43,31.14,0.0,0.29,23.59,23.47,0.0,0.12,31,24
2019-01-04,9,1474.4,1440.934,27.59,27.3,0.0,0.29,22.51,22.38,0.0,0.13,30,23
2019-01-04,10,1450.0,1426.559,24.29,24.0,0.02,0.27,21.3,21.09,0.01,0.2,33,25
2019-01-04,11,1400.0,1416.736,23.34,23.12,0.01,0.21,20.66,20.45,0.0,0.21,36,25
2019-01-04,12,1359.9,1401.194,22.740000000000002,22.57,0.01,0.16,20.37,20.150000000000002,0.0,0.22,38,25
2019-01-04,13,1347.8,1381.362,22.46,22.31,0.0,0.15,20.7,20.51,0.0,0.19,40,25
2019-01-04,14,1318.2,1368.293,21.990000000000002,21.85,0.01,0.13,20.77,20.580000000000002,0.0,0.19,42,26
2019-01-04,15,1316.4,1361.825,22.17,22.0,0.03,0.14,21.96,21.740000000000002,0.0,0.22,43,26
2019-01-04,16,1336.1,1381.792,22.88,22.71,0.01,0.16,22.46,22.25,0.0,0.21,42,26
2019-01-04,17,1447.4,1469.405,23.88,23.76,0.0,0.12,28.490000000000002,28.32,0.0,0.17,41,26
2019-01-04,18,1605.8,1542.373,32.71,32.47,0.0,0.24,28.43,28.28,0.0,0.15,38,26
2019-01-04,19,1540.8,1526.151,30.63,30.44,0.0,0.19,27.27,27.16,0.0,0.11,32,25
2019-01-04,20,1454.2,1477.426,25.82,25.61,0.0,0.21,22.64,22.490000000000002,0.0,0.15,33,25
2019-01-04,21,1369.4,1422.927,24.17,24.01,0.0,0.16,22.06,21.89,0.0,0.17,34,26
2019-01-04,22,1291.9,1334.654,23.61,23.53,0.0,0.08,28.150000000000002,28.03,0.0,0.12,29,26
2019-01-04,23,1168.4,1226.037,23.53,23.51,0.0,0.02,22.6,22.55,0.0,0.05,29,25
2019-01-04,24,1101.7,1122.188,23.55,23.38,0.0,0.17,30.17,30.060000000000002,0.0,0.11,27,25
2019-01-05,1,997.5,1054.633,22.73,22.740000000000002,0.0,-0.01,38.35,38.38,0.0,-0.03,27,25
2019-01-05,2,979.9,1014.697,20.05,20.080000000000002,0.0,-0.03,21.3,21.35,0.0,-0.05,27,25
2019-01-05,3,984.7,993.986,19.580000000000002,19.580000000000002,0.0,0.0,17.42,17.44,0.0,-0.02,28,26
2019-01-05,4,986.2,989.884,18.7,18.68,0.0,0.02,20.05,20.04,0.0,0.01,26,24
2019-01-05,5,1004.5,1005.484,19.650000000000002,19.61,0.0,0.04,19.43,19.42,0.0,0.01,26,24
2019-01-05,6,1025.8,1047.181,20.46,20.43,0.0,0.03,22.23,22.22,0.0,0.01,27,25
2019-01-05,7,1067.2,1118.533,25.810000000000002,25.740000000000002,0.0,0.07,26.07,26.060000000000002,0.0,0.01,29,27
2019-01-05,8,1205.5,1204.56,23.8,23.64,0.0,0.16,22.68,22.64,0.0,0.04,30,28
2019-01-05,9,1334.3,1286.688,23.75,23.48,0.0,0.27,15.700000000000001,15.620000000000001,0.0,0.08,30,28
2019-01-05,10,1369.8,1351.484,31.19,30.76,0.0,0.43,21.85,21.69,0.0,0.16,31,28
