Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
2019-01-01,1,484.9,538.657,24.93,25.57,-0.36,-0.28,34.660000000000004,35.42,0.04,-0.8,35,33
2019-01-01,2,447.8,514.146,20.23,20.44,-0.15,-0.06,37.86,38.38,0.0,-0.52,36,34
2019-01-01,3,446.0,495.775,18.86,18.84,-0.09,0.11,20.88,21.09,0.0,-0.21,37,35
2019-01-01,4,440.6,487.409,18.96,19.09,-0.08,-0.05,18.11,18.29,0.03,-0.21,38,36
2019-01-01,5,416.2,489.389,17.740000000000002,17.78,-0.03,-0.01,7.390000000000001,7.48,0.01,-0.1,39,36
2019-01-01,6,454.4,505.369,19.86,20.2,-0.1,-0.24,17.64,17.77,0.03,-0.16,40,37
2019-01-01,7,493.1,526.692,20.32,20.62,-0.13,-0.17,10.63,10.71,0.02,-0.1,42,39
2019-01-01,8,504.6,557.609,22.580000000000002,22.98,-0.02,-0.38,-43.82,-44.300000000000004,0.0,0.48,43,39
2019-01-01,9,515.5,591.044,23.42,23.740000000000002,0.01,-0.33,-19.48,-19.7,0.0,0.22,43,40
2019-01-01,10,542.6,602.266,21.81,22.39,-0.14,-0.44,18.98,19.28,0.04,-0.34,38,31
2019-01-01,11,561.9,614.229,24.62,25.28,-0.22,-0.44,11.9,12.16,0.0,-0.26,37,31
2019-01-01,12,562.7,646.451,25.240000000000002,25.63,-0.24,-0.15,2.5100000000000002,2.56,0.0,-0.05,36,28
2019-01-01,13,553.5,663.531,25.22,25.62,-0.24,-0.16,11.24,11.31,0.0,-0.07,35,27
2019-01-01,14,541.8,659.863,24.96,25.38,-0.23,-0.19,11.22,11.22,0.02,-0.02,34,27
2019-01-01,15,551.9,667.268,24.79,25.330000000000002,-0.22,-0.32,17.91,17.990000000000002,0.02,-0.1,33,26
2019-01-01,16,588.0,688.364,23.97,24.38,-0.19,-0.22,16.09,16.22,0.01,-0.14,32,24
2019-01-01,17,643.2,733.069,25.64,26.09,-0.23,-0.22,17.82,18.21,-0.05,-0.34,32,22
2019-01-01,18,683.8,766.227,36.35,37.32,-0.48,-0.49,24.3,24.990000000000002,-0.19,-0.5,30,20
2019-01-01,19,679.5,756.624,32.87,33.46,-0.4,-0.19,22.23,22.71,-0.12,-0.36,28,17
2019-01-01,20,665.9,731.399,28.310000000000002,28.91,-0.29,-0.31,21.64,22.06,-0.1,-0.32,26,15
2019-01-01,21,640.5,703.694,25.55,25.79,-0.08,-0.16,22.82,23.31,-0.14,-0.35000000000000003,24,14
2019-01-01,22,602.1,677.672,24.62,24.900000000000002,-0.07,-0.21,19.94,20.16,-0.01,-0.21,22,12
2019-01-01,23,547.2,642.302,24.09,24.43,-0.06,-0.28,18.990000000000002,19.080000000000002,0.03,-0.12,21,11
2019-01-01,24,543.6,605.002,23.29,23.66,-0.18,-0.19,17.7,17.76,0.03,-0.09,19,10
2019-01-02,1,515.1,584.204,24.32,24.51,0.03,-0.22,3.62,3.64,0.0,-0.02,18,9
2019-01-02,2,500.6,573.505,23.14,23.36,0.03,-0.25,0.5700000000000001,0.56,0.01,0.0,17,9
2019-01-02,3,508.0,573.764,19.650000000000002,19.98,0.02,-0.35000000000000003,18.66,18.76,0.02,-0.12,16,9
2019-01-02,4,535.4,578.77,21.73,21.91,0.02,-0.2,22.31,22.45,0.0,-0.14,16,8
2019-01-02,5,591.7,599.03,24.650000000000002,24.76,0.02,-0.13,18.62,18.75,0.0,-0.13,15,8
2019-01-02,6,639.1,650.235,29.11,29.18,0.03,-0.1,16.490000000000002,16.59,0.0,-0.1,15,7
2019-01-02,7,695.6,733.316,32.03,32.28,0.01,-0.26,29.6,29.7,0.0,-0.1,15,8
2019-01-02,8,740.0,784.957,28.810000000000002,29.09,0.0,-0.28,30.28,30.490000000000002,0.0,-0.21,15,7
2019-01-02,9,721.8,752.692,28.23,28.32,0.0,-0.09,25.41,25.62,0.0,-0.21,15,8
2019-01-02,10,644.4,684.548,25.2,25.64,0.0,-0.44,21.77,22.02,0.0,-0.25,16,8
2019-01-02,11,578.9,617.296,30.060000000000002,30.18,0.0,-0.12,24.25,24.47,0.0,-0.22,17,8
2019-01-02,12,551.2,580.998,26.82,26.88,0.0,-0.06,25.21,25.36,0.0,-0.15,19,8
2019-01-02,13,519.1,566.203,25.240000000000002,25.580000000000002,0.0,-0.34,23.93,24.07,0.0,-0.14,20,8
2019-01-02,14,524.0,592.1,25.42,25.810000000000002,0.0,-0.39,24.53,24.71,0.0,-0.18,22,9
2019-01-02,15,600.7,654.236,26.96,27.03,0.0,-0.07,25.43,25.66,0.0,-0.23,23,9
2019-01-02,16,636.1,738.937,30.23,30.5,0.0,-0.27,30.26,30.39,0.0,-0.13,24,10
2019-01-02,17,750.4,792.947,41.43,41.59,0.0,-0.16,35.800000000000004,36.15,0.0,-0.35000000000000003,23,10
2019-01-02,18,781.4,827.504,61.2,61.730000000000004,0.0,-0.53,39.26,39.89,0.0,-0.63,21,12
2019-01-02,19,831.3,822.128,59.93,60.42,0.0,-0.49,67.11,68.24,0.0,-1.1300000000000001,21,12
2019-01-02,20,816.3,803.178,53.32,54.13,0.0,-0.81,32.72,33.45,0.0,-0.73,21,12
2019-01-02,21,783.6,774.153,45.75,46.22,0.0,-0.47000000000000003,28.310000000000002,28.94,0.0,-0.63,22,14
