id,r2score,duration (min),activation,dropout,optimizer,neurons_width,hidden_layers,batch_size
ac5ax,0.7672,32.50,LeakyReLU_0.05,FALSE,Adam,64,8,24
aAsC6,0.7647,30.46,LeakyReLU_0.1,FALSE,Adam,128,4,24
JAoZR,0.7563,21.51,LeakyReLU_0.1,FALSE,Adam,64,8,24
vpeAz,0.7555,48.32,LeakyReLU_0.1,FALSE,Adam,32,8,24
zWR1q,0.7501,41.50,LeakyReLU_0.05,FALSE,Adam,64,4,24
vpP1o,0.7489,39.59,LeakyReLU_0.05,FALSE,Adam,128,8,24
TsZtS,0.7486,143.74,relu,FALSE,Adam,128,4,6
WGaXo,0.7348,38.11,LeakyReLU_0.01,FALSE,Adam,32,4,12
LgV34,0.7343,53.49,selu,FALSE,Adam,64,4,24
yeuk3,0.7307,126.37,relu,FALSE,Adam,64,4,6
oz4rN,0.7295,33.45,LeakyReLU_0.01,FALSE,Adam,32,2,24
QsYpK,0.7295,34.35,LeakyReLU_0.01,FALSE,Adam,32,2,24
mAV05,0.7291,34.18,LeakyReLU_0.05,FALSE,Adam,64,2,24
rB9RI,0.7290,45.41,LeakyReLU_0.1,FALSE,RMSProp,128,2,6
YxCcG,0.7253,77.48,selu,FALSE,Adam,32,4,12
QTvdn,0.7240,43.07,relu,FALSE,Adam,64,4,24
HGiXe,0.7218,52.58,relu,FALSE,Adam,64,2,6
NsBZu,0.7164,39.33,elu,FALSE,Adam,128,8,12
u0yKX,0.7161,29.43,LeakyReLU_0.1,FALSE,Adam,64,4,24
cTkEj,0.7144,57.83,relu,FALSE,Adam,16,4,12
xlSo4,0.7121,41.58,LeakyReLU_0.1,FALSE,Adam,64,4,12
wDtwZ,0.7117,46.18,elu,FALSE,Adam,64,4,24
tp4AA,0.7061,60.97,LeakyReLU_0.01,FALSE,Adam,16,8,12
DWKQk,0.7032,25.65,LeakyReLU_0.05,FALSE,Adam,128,4,24
uRbJh,0.6977,44.58,LeakyReLU_0.1,FALSE,Adam,128,8,24
neUQr,0.6935,47.37,selu,FALSE,Adam,64,8,24
Z4zew,0.6900,25.41,elu,FALSE,Adam,32,8,24
oWmex,0.6847,52.71,selu,FALSE,Adam,32,4,24
kW6Ir,0.6844,106.38,relu,FALSE,Adam,16,32,12
rfbNl,0.6811,37.71,relu,FALSE,Adam,128,4,24
bIXEt,0.6794,74.77,LeakyReLU_0.05,FALSE,Adam,32,4,6
z3dS8,0.6780,51.12,LeakyReLU_0.01,FALSE,Adam,32,16,24
OhuNN,0.6602,120.74,LeakyReLU_0.01,FALSE,Adam,16,8,6
DsXRu,0.6533,23.48,LeakyReLU_0.05,FALSE,Adam,32,8,48
BmCTm,0.6532,20.07,LeakyReLU_0.01,FALSE,RMSProp,16,8,48
dGY91,0.6499,36.27,LeakyReLU_0.05,FALSE,Adam,64,16,24
oD0He,0.6472,25.13,elu,FALSE,RMSProp,32,8,48
RoUf3,0.6458,147.16,LeakyReLU_0.1,FALSE,Adam,128,16,12
a7sEX,0.6428,20.74,elu,FALSE,RMSProp,128,2,48
VQPbR,0.6403,19.97,relu,FALSE,Adam,16,8,48
HxpP1,0.6338,30.37,LeakyReLU_0.1,FALSE,Adam,16,16,48
zj2AC,0.6306,11.40,LeakyReLU_0.05,FALSE,RMSProp,16,4,72
yfIme,0.6298,24.43,LeakyReLU_0.01,FALSE,RMSProp,64,8,24
dwM5e,0.6243,82.59,relu,FALSE,Adam,64,8,6
aW62m,0.6226,13.23,LeakyReLU_0.1,FALSE,RMSProp,32,8,72
uRvcm,0.6198,75.38,selu,FALSE,Adam,16,2,12
ok4Tv,0.6190,79.84,LeakyReLU_0.1,FALSE,Adam,32,8,6
p9Klx,0.6188,23.16,LeakyReLU_0.1,FALSE,Adam,64,8,48
ji9sE,0.6171,32.48,LeakyReLU_0.05,FALSE,RMSProp,16,4,24
LEBGi,0.6149,58.15,LeakyReLU_0.05,FALSE,Adam,128,16,24
KzOtQ,0.6132,48.05,LeakyReLU_0.01,FALSE,Adam,128,16,24
eYs9W,0.6108,28.37,elu,FALSE,Adam,128,4,24
J5Zoi,0.6078,12.13,elu,FALSE,Adam,64,8,48
gkKps,0.6057,66.78,LeakyReLU_0.1,FALSE,RMSProp,16,16,12
wKyWb,0.6037,17.10,LeakyReLU_0.1,FALSE,RMSProp,128,4,24
b3Qon,0.6034,15.83,LeakyReLU_0.01,FALSE,RMSProp,128,8,72
zuiHf,0.5961,23.67,relu,FALSE,Adam,64,4,48
xodXk,0.5923,60.10,LeakyReLU_0.01,FALSE,Adam,128,16,24
rvnvn,0.5889,26.53,LeakyReLU_0.01,FALSE,Adam,128,8,24
TnB3l,0.5889,26.88,LeakyReLU_0.01,FALSE,Adam,128,8,24
WWpyv,0.5867,23.00,LeakyReLU_0.01,FALSE,RMSProp,64,2,24
Tx1Uk,0.5842,103.22,LeakyReLU_0.05,FALSE,Adam,32,32,24
SZfjL,0.5768,14.11,elu,FALSE,Adam,32,32,72
OZhAz,0.5765,33.33,elu,FALSE,Adam,16,16,12
Y1EMi,0.5703,22.48,LeakyReLU_0.01,FALSE,RMSProp,64,16,48
uYn7Y,0.5677,27.51,relu,FALSE,RMSProp,16,16,72
FxRtZ,0.5653,24.66,selu,FALSE,Adam,128,2,48
KnL8Q,0.5621,49.77,selu,FALSE,RMSProp,16,16,48
BLyt8,0.5613,10.21,relu,FALSE,RMSProp,32,2,72
lrSgA,0.5583,11.46,LeakyReLU_0.1,FALSE,RMSProp,128,2,12
nse9P,0.5570,34.63,relu,FALSE,RMSProp,128,8,72
zl1IB,0.5565,25.84,selu,FALSE,Adam,16,8,48
zg9JM,0.5409,174.36,LeakyReLU_0.01,FALSE,Adagrad,64,32,12
hMLhr,0.5383,24.73,LeakyReLU_0.05,FALSE,Adam,32,32,48
s4rYa,0.5378,98.72,LeakyReLU_0.1,FALSE,Adam,32,32,24
CJVi4,0.5352,14.74,LeakyReLU_0.05,FALSE,RMSProp,32,16,72
JzbW1,0.5338,69.33,relu,FALSE,Adam,32,32,12
UTFYy,0.5201,17.08,LeakyReLU_0.01,FALSE,Adam,64,2,48
k7rxT,0.5185,190.10,LeakyReLU_0.05,FALSE,Adagrad,64,32,6
eEDg2,0.5144,13.63,LeakyReLU_0.1,FALSE,Adam,32,4,72
q9N38,0.5138,19.18,LeakyReLU_0.01,FALSE,Adam,32,32,48
p5Yu4,0.5076,17.80,LeakyReLU_0.1,FALSE,Adam,32,8,72
JRT1K,0.5076,91.15,selu,FALSE,RMSProp,32,8,6
cG7PN,0.4955,296.96,relu,FALSE,Adagrad,128,32,12
k6my8,0.4918,10.23,LeakyReLU_0.01,FALSE,Adam,16,2,72
bFUlW,0.4898,21.74,LeakyReLU_0.1,FALSE,RMSProp,64,2,12
UtgVA,0.4898,23.65,LeakyReLU_0.1,FALSE,RMSProp,64,2,12
ZCDwn,0.4856,32.33,elu,FALSE,Adam,16,32,24
zfzCU,0.4841,11.60,LeakyReLU_0.1,FALSE,Adam,16,2,72
YVGPs,0.4781,122.95,LeakyReLU_0.1,FALSE,Adagrad,128,32,48
oc6tq,0.4728,28.42,LeakyReLU_0.1,FALSE,RMSProp,16,4,6
L3YRo,0.4685,12.62,relu,FALSE,Adam,64,2,72
DxD5s,0.4644,39.84,selu,FALSE,Adam,16,2,24
romGr,0.4639,14.23,elu,FALSE,Adam,128,8,48
X87I0,0.4630,24.31,elu,FALSE,Adam,32,8,48
NCp4y,0.4611,14.81,relu,FALSE,Adam,32,2,72
eQuEw,0.4569,44.56,LeakyReLU_0.01,FALSE,RMSProp,64,8,6
uJnVp,0.4547,24.60,selu,FALSE,Adam,64,2,48
k3LzB,0.4406,123.05,elu,FALSE,Adagrad,128,32,72
tgYbN,0.4377,31.60,elu,FALSE,RMSProp,16,16,24
RMWmd,0.4371,19.38,selu,FALSE,RMSProp,32,2,48
HXRmv,0.4350,9.17,LeakyReLU_0.1,FALSE,Adam,32,16,72
UiOxV,0.4304,28.23,selu,FALSE,RMSProp,32,4,24
Of0Jc,0.4279,19.06,LeakyReLU_0.1,FALSE,RMSProp,32,8,12
TwUA8,0.4232,71.92,LeakyReLU_0.05,FALSE,Adam,64,8,6
isBR4,0.4232,62.58,LeakyReLU_0.05,FALSE,Adam,64,8,6
mUrwu,0.4182,16.07,selu,FALSE,Adam,64,2,72
BDkMd,0.4158,18.78,relu,FALSE,RMSProp,16,4,12
VXtJP,0.4089,228.16,LeakyReLU_0.01,FALSE,Adadelta,128,32,24
n0WaC,0.4053,570.16,elu,FALSE,Adadelta,128,32,6
da7Be,0.4049,16.64,selu,FALSE,Adam,32,4,72
YrfXW,0.3948,15.93,relu,FALSE,Adam,16,8,72
qfSHv,0.3699,11.52,selu,FALSE,Adam,32,2,72
pYeft,0.3664,52.58,LeakyReLU_0.01,FALSE,Adagrad,64,32,72
bFeE0,0.3561,15.55,LeakyReLU_0.1,FALSE,Adam,128,4,72
mLtjl,0.3459,18.24,LeakyReLU_0.1,FALSE,RMSProp,32,8,24
xoZGt,0.3175,351.74,selu,FALSE,Adadelta,32,16,6
BHLzK,0.3082,47.29,relu,FALSE,Adagrad,128,16,72
YSsZg,0.3011,22.55,LeakyReLU_0.05,FALSE,RMSProp,64,16,48
BJYUV,0.2784,82.12,relu,TRUE,Adam,128,32,24
ny74H,0.2707,175.06,elu,FALSE,Adadelta,32,32,12
NMhK7,0.2675,70.42,relu,FALSE,Adagrad,64,16,24
nrd5s,0.2591,12.21,selu,FALSE,RMSProp,16,4,6
IImCs,0.2555,67.33,relu,FALSE,RMSProp,32,16,6
aVY2g,0.2380,117.13,elu,FALSE,Adadelta,64,32,24
a02UC,0.2289,30.21,elu,FALSE,RMSProp,32,2,6
fg7uO,0.2262,64.18,LeakyReLU_0.1,FALSE,Adagrad,128,8,24
bZzqU,0.2215,179.94,relu,FALSE,Adadelta,128,16,12
uUjcJ,0.2187,98.91,LeakyReLU_0.05,FALSE,Adadelta,32,32,24
AO7FH,0.2187,75.37,LeakyReLU_0.01,FALSE,Adagrad,32,32,12
ytYMM,0.2146,208.41,relu,FALSE,Adadelta,128,8,6
YGlsq,0.2017,39.04,LeakyReLU_0.1,FALSE,Adagrad,128,8,48
XwZ8f,0.1610,52.01,LeakyReLU_0.01,FALSE,Adam,128,8,6
svDb4,0.1599,37.14,LeakyReLU_0.1,FALSE,RMSProp,32,32,48
a8xxl,0.1287,88.38,elu,FALSE,Adadelta,32,32,24
CV7Ep,0.1079,96.75,LeakyReLU_0.1,FALSE,Adadelta,64,32,24
OqHwE,0.0788,83.81,LeakyReLU_0.1,FALSE,Adadelta,128,32,72
dWRFy,0.0598,61.45,LeakyReLU_0.1,FALSE,Adadelta,64,16,24
e8SYp,0.0257,161.16,relu,FALSE,Adadelta,16,8,6
R45zP,0.0204,24.81,LeakyReLU_0.1,FALSE,Adagrad,64,16,48
RC3Mc,0.0020,40.45,LeakyReLU_0.1,FALSE,Adadelta,64,8,24
uM9oI,0.0000,17.95,LeakyReLU_0.05,TRUE,RMSProp,32,8,24
EWtpv,0.0000,33.04,LeakyReLU_0.1,TRUE,Adadelta,16,32,72
lBXl6,0.0000,30.92,relu,TRUE,RMSProp,64,2,12
YWt8w,0.0000,40.46,LeakyReLU_0.05,TRUE,Adadelta,32,4,24
jrpm0,0.0000,63.57,relu,TRUE,RMSProp,64,2,6
W94fh,0.0000,95.46,LeakyReLU_0.05,FALSE,Adagrad,32,2,6
goh4a,0.0000,53.81,selu,TRUE,Adagrad,64,8,24
ySqdL,0.0000,21.55,LeakyReLU_0.01,TRUE,Adadelta,32,4,48
pgc2X,0.0000,4.59,LeakyReLU_0.1,FALSE,Adagrad,64,8,24
PCzFM,0.0000,35.45,elu,TRUE,Adam,32,2,24
YDVPT,0.0000,127.74,relu,TRUE,RMSProp,128,8,6
MzoHK,0.0000,20.44,LeakyReLU_0.05,TRUE,RMSProp,32,8,72
Z8BZZ,0.0000,15.87,elu,FALSE,Adagrad,16,2,48
LUapm,0.0000,3.20,relu,FALSE,Adadelta,16,16,72
JRyJa,0.0000,18.61,elu,TRUE,Adagrad,32,32,48
sZ2P7,0.0000,49.68,LeakyReLU_0.05,TRUE,RMSProp,64,32,48
oGc5J,0.0000,18.74,relu,TRUE,Adam,16,8,24
jmeyA,0.0000,81.20,LeakyReLU_0.1,TRUE,Adadelta,128,8,24
duJ3m,0.0000,62.69,LeakyReLU_0.05,TRUE,Adam,128,8,24
SOwwl,0.0000,43.01,elu,TRUE,RMSProp,16,8,24
aRwaz,0.0000,17.12,LeakyReLU_0.05,FALSE,Adadelta,128,4,48
rQB4X,0.0000,128.56,LeakyReLU_0.1,FALSE,Adam,64,32,12
hmSWh,0.0000,28.47,LeakyReLU_0.01,TRUE,RMSProp,128,8,72
fYh1l,0.0000,34.68,LeakyReLU_0.05,TRUE,Adam,32,2,24
Q7HYC,0.0000,11.58,LeakyReLU_0.1,FALSE,Adagrad,64,4,6
zW1A4,0.0000,9.89,LeakyReLU_0.01,FALSE,Adagrad,128,2,72
YuTwa,0.0000,2.50,LeakyReLU_0.1,FALSE,Adagrad,32,16,72
FbMRc,0.0000,86.62,LeakyReLU_0.1,TRUE,Adam,32,8,12
DOAnx,0.0000,137.61,relu,TRUE,Adadelta,128,2,6
HH2uB,0.0000,26.95,relu,TRUE,Adagrad,16,2,24
ls8Ue,0.0000,118.46,relu,TRUE,Adadelta,32,2,6
FVbx4,0.0000,129.94,relu,FALSE,Adadelta,128,2,6
fyPk1,0.0000,30.40,LeakyReLU_0.05,TRUE,RMSProp,64,4,24
JA7NR,0.0000,111.46,selu,FALSE,Adam,64,32,6
uLN4M,0.0000,26.04,LeakyReLU_0.01,TRUE,RMSProp,32,2,24
bpNdg,0.0000,37.62,elu,FALSE,Adadelta,32,8,24
HiL8N,0.0000,91.00,LeakyReLU_0.1,TRUE,Adam,128,8,24
DkzJu,0.0000,28.53,elu,FALSE,Adam,64,16,24
HuMlG,0.0000,36.91,selu,TRUE,Adagrad,32,8,24
yijke,0.0000,3.23,LeakyReLU_0.05,FALSE,Adagrad,16,16,48
gsvRE,0.0000,62.94,LeakyReLU_0.05,FALSE,Adadelta,32,4,12
