activation,dropout,reward,duration (hours),duration (hh:mm),optimizer,neurons_width,id,hidden_layers,batch_size
relu,FALSE,0.8563,2.09,2:05:09,Adam,64,Fkdx4,8,12
LeakyReLU_0.01,FALSE,0.8395,1.78,1:46:48,Adam,32,AXBYw,8,12
relu,FALSE,0.8187,0.52,0:31:13,Adam,64,Euz1X,16,24
relu,FALSE,0.8006,7.21,7:12:53,Adagrad,128,l2xSk,16,12
LeakyReLU_0.01,FALSE,0.8002,1.38,1:22:53,Adam,128,NaSHJ,2,24
LeakyReLU_0.01,FALSE,0.7956,1.71,1:42:27,Adam,64,OARCU,2,24
LeakyReLU_0.1,FALSE,0.7851,0.95,0:56:54,Adam,32,JCsde,16,24
LeakyReLU_0.05,FALSE,0.7812,0.90,0:54:15,Adam,32,Kp8h1,16,24
LeakyReLU_0.01,FALSE,0.7739,7.33,7:19:40,Adagrad,128,WD9gt,16,12
LeakyReLU_0.01,FALSE,0.7694,0.28,0:16:51,Adam,128,qAylE,4,72
selu,FALSE,0.7557,0.71,0:42:25,RMSProp,64,ipFnZ,4,24
LeakyReLU_0.1,FALSE,0.7464,0.86,0:51:26,Adam,128,qpi1D,8,24
LeakyReLU_0.05,FALSE,0.7437,0.63,0:37:38,Adam,32,Y6vf3,8,48
selu,FALSE,0.7331,1.15,1:09:11,Adam,32,MQBOm,8,24
elu,FALSE,0.7227,0.37,0:22:10,Adam,32,JVoaV,16,24
relu,FALSE,0.7199,0.70,0:42:07,Adam,16,UtQtg,8,48
elu,FALSE,0.7198,0.41,0:24:32,Adam,32,J4NYU,8,48
relu,FALSE,0.7107,1.11,1:06:37,RMSProp,64,VEoZf,2,24
selu,FALSE,0.7073,0.85,0:50:51,Adam,16,LGRdI,16,12
elu,FALSE,0.6854,0.57,0:34:07,RMSProp,64,vnIC0,4,24
relu,FALSE,0.6835,4.64,4:38:10,Adagrad,64,QgAdH,16,12
LeakyReLU_0.05,FALSE,0.6658,0.74,0:44:39,Adam,128,AQesO,8,24
relu,FALSE,0.6655,2.05,2:02:42,Adam,128,S19Ng,16,12
selu,FALSE,0.6655,0.76,0:45:37,RMSProp,16,pnDUb,8,24
LeakyReLU_0.01,FALSE,0.6537,0.35,0:20:53,Adam,128,X9E82,4,48
LeakyReLU_0.05,FALSE,0.6524,0.80,0:48:13,Adam,32,PDFwH,2,48
LeakyReLU_0.01,FALSE,0.6481,0.50,0:30:01,Adam,32,y3vLa,2,72
selu,FALSE,0.6431,0.40,0:23:48,Adam,32,vCdQm,16,24
LeakyReLU_0.05,FALSE,0.6382,0.55,0:32:54,Adam,32,Ll8PE,2,72
LeakyReLU_0.05,FALSE,0.6335,0.28,0:16:49,Adam,32,puoTQ,16,72
LeakyReLU_0.05,FALSE,0.6301,0.41,0:24:18,Adam,128,HotLt,16,24
relu,TRUE,0.6226,0.25,0:14:45,Adam,128,w7gtG,4,72
LeakyReLU_0.1,TRUE,0.6120,0.59,0:35:21,Adam,64,xihJg,8,24
LeakyReLU_0.05,FALSE,0.5800,0.36,0:21:40,RMSProp,16,GqN6K,8,72
LeakyReLU_0.05,FALSE,0.5759,0.37,0:22:24,Adam,32,TFVBD,16,48
LeakyReLU_0.01,TRUE,0.5745,0.30,0:17:48,Adam,64,rpJC3,4,48
LeakyReLU_0.01,FALSE,0.5613,1.03,1:01:57,Adam,32,RNdKb,16,12
LeakyReLU_0.05,FALSE,0.5605,1.14,1:08:11,RMSProp,64,EPVcn,4,12
LeakyReLU_0.01,FALSE,0.5576,1.01,1:00:30,Adagrad,64,u7ntt,16,72
relu,FALSE,0.5571,0.32,0:19:00,Adam,16,NWuIi,8,72
relu,FALSE,0.5571,0.31,0:18:19,Adam,16,W0gAh,8,72
LeakyReLU_0.01,TRUE,0.5455,0.25,0:14:50,Adam,32,PJNtK,16,48
LeakyReLU_0.1,TRUE,0.5254,0.26,0:15:51,RMSProp,64,r8NGx,8,72
LeakyReLU_0.1,TRUE,0.5247,0.70,0:42:01,Adam,32,u6qaH,8,12
elu,FALSE,0.5192,0.82,0:48:56,Adam,32,WDK09,2,48
LeakyReLU_0.05,FALSE,0.4983,0.65,0:39:08,RMSProp,128,CT3SN,4,48
LeakyReLU_0.1,TRUE,0.4937,0.21,0:12:44,Adam,32,B6aWB,16,72
selu,TRUE,0.4912,0.90,0:53:51,Adam,32,NSvgK,4,24
relu,TRUE,0.4542,1.10,1:06:00,RMSProp,64,ROBo9,16,12
