id,reward,duration (s),max_features,max_leaf_nodes,min_samples_leaf,n_estimators,min_samples_split,min_impurity_decrease,max_depth,bootstrap
yF4G2,0.9526,66.9,auto,None,1,750,2,0.001,32,TRUE
E3Yt3,0.9526,77.4,auto,None,1,750,2,0.001,128,TRUE
z6pAq,0.9526,64.9,auto,None,1,750,2,0.1,32,TRUE
DcaFJ,0.9526,71.3,auto,None,1,750,2,0.1,128,TRUE
aeh4D,0.9526,69.2,auto,None,1,750,2,0.1,256,TRUE
NrgwK,0.9526,64.9,auto,None,1,750,2,0.1,64,TRUE
DIzMv,0.9526,63.1,auto,None,1,750,4,0.1,128,TRUE
pTskN,0.9526,52.4,auto,None,1,750,4,0.001,256,TRUE
muBKm,0.9525,52.6,auto,None,1,500,2,0.001,64,TRUE
cOeNA,0.9524,30.3,auto,None,1,250,2,0,256,TRUE
RBTTG,0.9523,24.5,auto,None,1,100,2,0,128,TRUE
bBzKB,0.9523,19.3,auto,None,1,100,2,0.1,128,TRUE
ynkxX,0.9522,64.6,auto,None,2,750,4,0.01,128,TRUE
vv5DP,0.9522,24.3,auto,None,1,100,2,0.001,128,TRUE
RODYp,0.9522,24.9,auto,None,2,250,2,0,64,TRUE
yZvCB,0.9522,44.5,auto,None,1,750,8,0.001,32,TRUE
lIkdY,0.9520,18.5,auto,None,2,100,4,0.1,256,TRUE
SV7sM,0.9519,46.6,auto,None,2,750,8,0.001,None,TRUE
H4mk4,0.9517,19.2,auto,None,2,100,8,0.05,64,TRUE
RtSEZ,0.9517,19.3,auto,None,2,100,8,0,128,TRUE
UWSnb,0.9510,47.1,auto,None,4,750,2,0,64,TRUE
KhgPO,0.9510,45.7,auto,None,4,750,4,0.05,64,TRUE
JJDIb,0.9510,45.0,auto,None,4,750,2,0.001,32,TRUE
hM3Jj,0.9510,45.3,auto,None,4,750,4,0.001,32,TRUE
NR5cC,0.9510,35.6,auto,None,4,500,4,0,64,TRUE
nzGOy,0.9510,35.5,auto,None,4,500,4,0.05,64,TRUE
tMG9d,0.9510,36.0,auto,None,4,500,2,0.05,256,TRUE
PKCzY,0.9510,64.5,auto,None,1,1000,2,0.001,16,TRUE
Qcw8u,0.9508,50.9,auto,None,1,750,16,0.1,128,TRUE
oyEmT,0.9506,54.1,auto,None,2,750,4,0.01,16,TRUE
j9ufR,0.9506,33.1,auto,None,2,500,16,0.05,256,TRUE
juW0g,0.9504,13.9,auto,None,2,100,16,0.001,256,TRUE
n929p,0.9501,26.3,log2,None,1,250,2,0,128,TRUE
wBfjN,0.9500,31.3,auto,None,4,500,16,0.05,64,TRUE
DawZp,0.9500,42.7,auto,None,4,750,16,0,256,TRUE
RnahX,0.9497,51.0,log2,None,1,750,2,0.1,256,TRUE
q71Ox,0.9496,60.4,log2,None,1,750,2,0.05,128,FALSE
acsxQ,0.9496,35.9,log2,None,1,500,2,0.1,128,TRUE
nk2yD,0.9495,46.3,log2,None,1,750,2,0.05,32,TRUE
Nwr9v,0.9495,46.1,auto,None,1,1000,16,0,16,TRUE
mjfw2,0.9494,19.6,log2,None,2,250,4,0.01,256,FALSE
bMugW,0.9491,45.3,log2,None,2,750,2,0,None,FALSE
ZSuhN,0.9488,44.4,log2,None,2,1000,2,0.01,None,TRUE
Vj1SW,0.9487,21.7,log2,None,2,250,8,0.05,32,FALSE
Dqvv4,0.9485,27.0,log2,None,2,500,2,0.1,None,TRUE
j0G2c,0.9484,31.5,log2,None,2,500,8,0.05,256,FALSE
dg6QE,0.9483,50.1,log2,None,2,1000,8,0,64,FALSE
G7LXI,0.9482,19.1,log2,None,4,250,4,0,32,FALSE
zG2uw,0.9481,19.9,log2,None,1,250,8,0.001,256,TRUE
kBb5Z,0.9481,26.5,log2,None,4,500,8,0.001,64,FALSE
zc9ZB,0.9481,37.3,log2,None,2,750,8,0.001,128,FALSE
Cy01J,0.9481,35.2,auto,None,8,500,8,0.1,128,TRUE
MePxe,0.9481,32.7,auto,None,8,500,16,0.01,32,TRUE
TSZUd,0.9481,43.0,auto,None,8,750,8,0,32,TRUE
Qbusi,0.9481,46.8,auto,None,8,750,2,0.1,256,TRUE
wq6a2,0.9481,46.0,auto,None,8,750,2,0.1,64,TRUE
hXpYM,0.9481,18.7,auto,None,8,100,2,0.05,64,TRUE
Oayqy,0.9481,24.3,auto,None,8,250,2,0.05,256,TRUE
Xlo4k,0.9481,23.2,auto,None,8,250,8,0.1,128,TRUE
IArcD,0.9481,25.1,auto,None,1,250,32,0,None,TRUE
fC07m,0.9480,25.6,log2,None,2,500,8,0.01,64,TRUE
zmj5I,0.9480,50.7,log2,None,4,1000,2,0.1,128,FALSE
DRMTS,0.9480,46.2,auto,None,2,1000,32,0.001,None,TRUE
EW81R,0.9479,17.3,log2,None,1,250,8,0.01,32,TRUE
hvtJX,0.9479,20.2,auto,None,1,100,32,0,None,TRUE
x62RK,0.9478,17.7,auto,None,2,100,32,0,64,TRUE
DCUlk,0.9478,21.8,log2,None,1,500,8,0.01,64,TRUE
aRjF9,0.9475,22.6,auto,None,4,250,32,0.01,None,TRUE
WsTAG,0.9474,18.7,auto,None,4,100,32,0.05,64,TRUE
AWG0s,0.9473,18.6,log2,None,4,100,2,0.05,None,FALSE
loLVV,0.9472,21.9,log2,None,2,250,16,0.001,256,FALSE
M750j,0.9471,37.6,auto,None,8,750,2,0.05,16,TRUE
cpTlf,0.9471,45.3,auto,None,8,750,2,0.1,16,TRUE
ubKN6,0.9468,32.9,log2,None,4,750,2,0,None,TRUE
dKYry,0.9468,28.7,log2,None,4,750,4,0.05,128,TRUE
jbfZs,0.9468,30.6,log2,None,4,750,8,0.01,256,TRUE
HLRcd,0.9467,24.6,log2,None,4,500,4,0.1,32,TRUE
Y1MXI,0.9467,27.0,log2,None,4,500,8,0.1,128,TRUE
ZZe79,0.9467,31.7,log2,None,4,750,16,0.01,None,FALSE
IqPXs,0.9466,48.8,auto,None,4,1000,32,0.1,16,TRUE
xQFzT,0.9465,34.9,log2,None,1,750,2,0.05,16,FALSE
oD7Hc,0.9462,27.3,auto,None,8,250,32,0,None,TRUE
NCfTv,0.9462,22.8,auto,None,8,250,32,0.01,256,TRUE
bEzve,0.9462,30.1,log2,None,2,750,2,0,16,TRUE
lj8TN,0.9462,19.5,auto,None,8,100,32,0,None,TRUE
IxOVM,0.9462,18.3,auto,None,8,100,32,0.01,256,TRUE
MlQ9u,0.9461,16.7,log2,None,4,100,4,0.01,128,TRUE
ItIQm,0.9461,23.4,log2,None,2,500,8,0.05,16,FALSE
msBs4,0.9459,20.3,log2,None,8,250,4,0.1,None,FALSE
F27Cx,0.9459,16.5,log2,None,8,250,8,0,None,FALSE
Mlb4p,0.9458,38.2,log2,None,8,1000,2,0.05,32,FALSE
QKg8v,0.9457,15.8,log2,None,8,100,16,0.1,32,FALSE
HuyYY,0.9457,17.7,log2,None,8,100,8,0,None,FALSE
prnvF,0.9455,34.6,log2,None,8,750,8,0.01,128,FALSE
S3aAp,0.9454,28.4,log2,None,8,500,4,0.1,32,FALSE
ZwTAx,0.9451,21.0,log2,None,4,250,16,0,128,TRUE
xcDg1,0.9447,20.3,log2,None,1,250,32,0.05,128,FALSE
mbQ5j,0.9446,17.5,log2,None,4,100,16,0,256,TRUE
V2huj,0.9443,37.7,log2,None,2,1000,32,0.05,64,FALSE
EWxpo,0.9441,31.9,log2,None,4,750,32,0.001,32,FALSE
gQbsz,0.9440,17.5,log2,None,8,250,16,0.1,32,TRUE
oWOqg,0.9440,19.4,log2,None,8,250,4,0.1,128,TRUE
wvVXS,0.9439,26.0,log2,None,8,500,32,0,128,FALSE
FoBDf,0.9435,24.7,log2,None,8,500,2,0,256,TRUE
m67E5,0.9435,29.2,log2,None,8,750,4,0,128,TRUE
