timestamp,timestamp,duration (s),trialJobId,data
1.60454E+12,1.60454E+12,66.937,yF4G2,0.952585944
1.60454E+12,1.60454E+12,77.363,E3Yt3,0.952583171
1.60454E+12,1.60454E+12,64.948,z6pAq,0.952575061
1.60454E+12,1.60454E+12,71.28,DcaFJ,0.952574848
1.60454E+12,1.60454E+12,69.239,aeh4D,0.952574848
1.60454E+12,1.60454E+12,64.886,NrgwK,0.952574848
1.60454E+12,1.60454E+12,63.11,DIzMv,0.952574322
1.60458E+12,1.60458E+12,52.37,pTskN,0.952569158
1.60454E+12,1.60454E+12,52.596,muBKm,0.952531657
1.6046E+12,1.6046E+12,30.332,cOeNA,0.952429991
1.60454E+12,1.60454E+12,24.48,RBTTG,0.952293012
1.60456E+12,1.60456E+12,19.31,bBzKB,0.952275559
1.60454E+12,1.60454E+12,64.592,ynkxX,0.952245163
1.60454E+12,1.60454E+12,24.268,vv5DP,0.952237057
1.60454E+12,1.60454E+12,24.934,RODYp,0.952186383
1.60455E+12,1.60455E+12,44.464,yZvCB,0.952171212
1.60458E+12,1.60458E+12,18.526,lIkdY,0.95197443
1.60456E+12,1.60456E+12,46.601,SV7sM,0.951924894
1.60457E+12,1.60457E+12,19.178,H4mk4,0.951658619
1.60455E+12,1.60455E+12,19.251,RtSEZ,0.951655115
1.6046E+12,1.6046E+12,47.089,UWSnb,0.950968683
1.60456E+12,1.60456E+12,45.713,KhgPO,0.950968503
1.60455E+12,1.60455E+12,45,JJDIb,0.950968307
1.60455E+12,1.60455E+12,45.307,hM3Jj,0.950968307
1.60458E+12,1.60458E+12,35.635,NR5cC,0.950962398
1.60459E+12,1.60459E+12,35.503,nzGOy,0.950962111
1.60459E+12,1.60459E+12,36.046,tMG9d,0.950962111
1.60454E+12,1.60454E+12,64.48,PKCzY,0.950953049
1.60454E+12,1.60454E+12,50.858,Qcw8u,0.950794928
1.60454E+12,1.60454E+12,54.082,oyEmT,0.950605169
1.60459E+12,1.60459E+12,33.067,j9ufR,0.950582926
1.60456E+12,1.60456E+12,13.937,juW0g,0.95040361
1.6046E+12,1.6046E+12,26.302,n929p,0.950080214
1.60459E+12,1.60459E+12,31.263,wBfjN,0.950016299
1.60458E+12,1.60458E+12,42.665,DawZp,0.950006814
1.60454E+12,1.60454E+12,50.952,RnahX,0.949727057
1.60456E+12,1.60456E+12,60.415,q71Ox,0.949591565
1.60458E+12,1.60458E+12,35.887,acsxQ,0.949557136
1.60457E+12,1.60457E+12,46.302,nk2yD,0.949518228
1.60456E+12,1.60456E+12,46.068,Nwr9v,0.949492396
1.60459E+12,1.60459E+12,19.559,mjfw2,0.94940092
1.60458E+12,1.60458E+12,45.319,bMugW,0.949128046
1.6046E+12,1.6046E+12,44.356,ZSuhN,0.948816332
1.60459E+12,1.60459E+12,21.692,Vj1SW,0.948703801
1.60459E+12,1.60459E+12,27.035,Dqvv4,0.948533306
1.60455E+12,1.60455E+12,31.489,j0G2c,0.948411744
1.6046E+12,1.6046E+12,50.071,dg6QE,0.948255123
1.60457E+12,1.60458E+12,19.082,G7LXI,0.948175482
1.60455E+12,1.60455E+12,19.902,zG2uw,0.948138168
1.6046E+12,1.6046E+12,26.544,kBb5Z,0.948133797
1.60457E+12,1.60457E+12,37.265,zc9ZB,0.94811933
1.6046E+12,1.6046E+12,35.163,Cy01J,0.94811058
1.60456E+12,1.60456E+12,32.733,MePxe,0.948110567
1.60461E+12,1.60461E+12,42.974,TSZUd,0.948099618
1.60454E+12,1.60454E+12,46.767,Qbusi,0.948099612
1.60454E+12,1.60454E+12,46.026,wq6a2,0.948099612
1.6046E+12,1.6046E+12,18.668,hXpYM,0.948080447
1.60457E+12,1.60457E+12,24.279,Oayqy,0.948078677
1.60457E+12,1.60457E+12,23.17,Xlo4k,0.948078655
1.60454E+12,1.60454E+12,25.092,IArcD,0.948065564
1.60456E+12,1.60456E+12,25.629,fC07m,0.948049311
1.60454E+12,1.60454E+12,50.72,zmj5I,0.948045776
1.60458E+12,1.60458E+12,46.16,DRMTS,0.948032071
1.6046E+12,1.6046E+12,17.338,EW81R,0.947933175
1.60454E+12,1.60454E+12,20.194,hvtJX,0.947931609
1.60456E+12,1.60456E+12,17.715,x62RK,0.947846974
1.60458E+12,1.60458E+12,21.847,DCUlk,0.947818684
1.60456E+12,1.60456E+12,22.632,aRjF9,0.947457861
1.60458E+12,1.60458E+12,18.742,WsTAG,0.947366369
1.6046E+12,1.6046E+12,18.578,AWG0s,0.947276105
1.60456E+12,1.60456E+12,21.885,loLVV,0.94715657
1.60458E+12,1.60458E+12,37.573,M750j,0.947082208
1.60454E+12,1.60454E+12,45.269,cpTlf,0.947082192
1.6046E+12,1.6046E+12,32.929,ubKN6,0.946823766
1.60459E+12,1.60459E+12,28.725,dKYry,0.946807834
1.60457E+12,1.60457E+12,30.58,jbfZs,0.946766476
1.60455E+12,1.60455E+12,24.586,HLRcd,0.94673886
1.60457E+12,1.60457E+12,27.023,Y1MXI,0.946707664
1.60457E+12,1.60457E+12,31.667,ZZe79,0.946686821
1.60458E+12,1.60458E+12,48.805,IqPXs,0.946588026
1.60457E+12,1.60457E+12,34.878,xQFzT,0.946498871
1.60454E+12,1.60454E+12,27.34,oD7Hc,0.946225731
1.60455E+12,1.60455E+12,22.809,NCfTv,0.946225731
1.60459E+12,1.60459E+12,30.112,bEzve,0.946225024
1.60457E+12,1.60457E+12,19.519,lj8TN,0.946201783
1.60459E+12,1.60459E+12,18.347,IxOVM,0.946201783
1.60459E+12,1.60459E+12,16.665,MlQ9u,0.946098575
1.60458E+12,1.60458E+12,23.35,ItIQm,0.946069684
1.60456E+12,1.60456E+12,20.252,msBs4,0.945942281
1.60457E+12,1.60457E+12,16.482,F27Cx,0.945864365
1.60455E+12,1.60455E+12,38.163,Mlb4p,0.945827448
1.60456E+12,1.60456E+12,15.816,QKg8v,0.945703379
1.60459E+12,1.60459E+12,17.738,HuyYY,0.945674182
1.60456E+12,1.60456E+12,34.61,prnvF,0.945466192
1.60456E+12,1.60456E+12,28.412,S3aAp,0.945426204
1.60458E+12,1.60458E+12,20.958,ZwTAx,0.945134056
1.60456E+12,1.60456E+12,20.323,xcDg1,0.94468227
1.60456E+12,1.60456E+12,17.506,mbQ5j,0.944559871
1.60459E+12,1.60459E+12,37.702,V2huj,0.944273746
1.60458E+12,1.60458E+12,31.901,EWxpo,0.944146841
1.6046E+12,1.6046E+12,17.497,gQbsz,0.944023551
1.60455E+12,1.60455E+12,19.405,oWOqg,0.9440037
1.60456E+12,1.60456E+12,25.978,wvVXS,0.943895165
1.60458E+12,1.60458E+12,24.69,FoBDf,0.943533791
1.60458E+12,1.60458E+12,29.236,m67E5,0.943507713
1.60455E+12,1.60455E+12,23.519,xBLtO,0.943506996
1.60455E+12,1.60455E+12,24.142,xqqEH,0.943464768
1.60458E+12,1.60458E+12,20.959,YEBXY,0.943441402
1.60455E+12,1.60455E+12,36.166,enSSP,0.942877664
1.60454E+12,1.60454E+12,17.739,WYVLy,0.942849874
1.60455E+12,1.60455E+12,22.424,qdgJ4,0.942818916
1.60454E+12,1.60454E+12,21.714,K2d6y,0.942818906
1.6046E+12,1.6046E+12,20.757,QaAzJ,0.942791798
1.60455E+12,1.60455E+12,29.638,uiple,0.942270907
1.60455E+12,1.60455E+12,29.701,VH5QI,0.942270907
1.60455E+12,1.60455E+12,30.03,yWu8P,0.942270904
1.6046E+12,1.6046E+12,21.523,nucoY,0.942194706
1.60457E+12,1.60457E+12,18.963,K5Ifl,0.942051354
1.60457E+12,1.60457E+12,23.318,uzoGw,0.941924224
1.60455E+12,1.60456E+12,31.288,wHEMc,0.941911423
1.60457E+12,1.60457E+12,36.413,ZUxdA,0.941467386
1.60457E+12,1.60457E+12,37.951,Gmc69,0.941466413
1.6046E+12,1.6046E+12,37.918,XFdB0,0.94145985
1.60455E+12,1.60455E+12,21.969,N0dN1,0.941347116
1.60459E+12,1.60459E+12,24.887,jJ7Bj,0.941324082
1.60457E+12,1.60457E+12,17.422,blShY,0.941243448
1.60458E+12,1.60458E+12,20.32,zYmPQ,0.941243448
1.60455E+12,1.60455E+12,20.434,xJKXy,0.941238226
1.60454E+12,1.60454E+12,22.654,N6ds6,0.940917268
1.60458E+12,1.60458E+12,15.55,D2SvP,0.940823687
1.60457E+12,1.60457E+12,18.309,thSV6,0.940432034
1.60458E+12,1.60458E+12,14.255,y6vIG,0.940415362
1.60459E+12,1.60459E+12,17.714,FrJrm,0.940333157
1.60454E+12,1.60454E+12,17.946,EfkCc,0.940327063
1.6046E+12,1.6046E+12,35.63,M1Ipu,0.940004503
1.6046E+12,1.6046E+12,35.666,vna7q,0.940004503
1.60458E+12,1.60458E+12,24.711,ttKor,0.93990969
1.60457E+12,1.60457E+12,16.565,S451k,0.93958823
1.60456E+12,1.60456E+12,41.583,J79Dy,0.938144937
1.60459E+12,1.60459E+12,41.074,Ms9HY,0.938144937
1.60459E+12,1.60459E+12,43.354,ILnbb,0.938140319
1.60461E+12,1.60461E+12,24.756,OJCs1,0.938129897
1.60454E+12,1.60454E+12,38.58,PeXfF,0.938122205
1.60454E+12,1.60454E+12,37.336,wURa0,0.938122205
1.60454E+12,1.60454E+12,44.931,cgZDr,0.938115757
1.60459E+12,1.60459E+12,34.771,kAPCC,0.938115757
1.60454E+12,1.60454E+12,30.289,URZ0m,0.938109426
1.6046E+12,1.6046E+12,28.223,slNL3,0.938109426
1.60456E+12,1.60456E+12,42.361,i3Zzl,0.938108327
1.60458E+12,1.60458E+12,32.953,SPDYR,0.938097392
1.60458E+12,1.60458E+12,29.263,G5Dea,0.938082373
1.60459E+12,1.60459E+12,17.605,aTq0X,0.938080105
1.60457E+12,1.60457E+12,22.992,MjCfx,0.938054685
1.60459E+12,1.60459E+12,18.855,U6VNi,0.938043525
1.6046E+12,1.6046E+12,44.955,iAbbR,0.937993409
1.60455E+12,1.60455E+12,24.381,AbgOQ,0.937985864
1.60456E+12,1.60456E+12,36.65,treoA,0.937983836
1.60458E+12,1.60458E+12,33.23,SBXzG,0.937982664
1.6046E+12,1.6046E+12,30.627,cw2R8,0.93783702
1.60454E+12,1.60454E+12,22.082,NjYjX,0.937813952
1.60454E+12,1.60454E+12,21.993,FkugH,0.937813952
1.60455E+12,1.60455E+12,26.93,LnTNy,0.93774974
1.60459E+12,1.60459E+12,19.617,cG8Li,0.937740652
1.6046E+12,1.6046E+12,20.686,fPckc,0.937740652
1.60455E+12,1.60455E+12,17.41,QIPGN,0.937721634
1.60459E+12,1.60459E+12,16.155,VDgFJ,0.93749421
1.6046E+12,1.6046E+12,14.786,R3SdS,0.93749421
1.6046E+12,1.6046E+12,42.079,qV9S0,0.937472699
1.6046E+12,1.6046E+12,15.413,xhMcc,0.937274321
1.60458E+12,1.60458E+12,37.037,hgdWD,0.937149248
1.60455E+12,1.60455E+12,27.362,H4RRv,0.936745215
1.60455E+12,1.60455E+12,24.254,sEc1b,0.935587953
1.60456E+12,1.60456E+12,28.223,T6HFv,0.935587953
1.6046E+12,1.6046E+12,26.791,plXbR,0.935587953
1.60456E+12,1.60456E+12,36.363,pVVNl,0.935574042
1.60456E+12,1.60456E+12,27.883,Z7PQv,0.935553556
