r2train_per_fold,[0]
r2test_per_fold,[0.8617760186347351]
r2testadj_per_fold,[0.8129910840352298]
rmse_per_fold,[2661.497420402667]
mae_per_fold,[2395.8125035409957]
maep_per_fold,[3.6787068693842273]
mape_per_fold,[3.7460118233175]
smape_per_fold,[3.6609972051008475]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,ceemdan
nmodes,6
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8618
std_r2test,0.0
avg_r2testadj,0.813
std_r2testadj,0.0
avg_rmse,2661.4974
std_rmse,0.0
avg_mae,2395.8125
std_mae,0.0
avg_maep,3.6787
std_maep,0.0
avg_mape,3.746
std_mape,0.0
avg_smape,3.661
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.26
