r2train_per_fold,[0]
r2test_per_fold,[0.691591622996149]
r2testadj_per_fold,[0.5827416075830251]
rmse_per_fold,[3975.551954946784]
mae_per_fold,[3786.7865464915244]
maep_per_fold,[5.814510802026865]
mape_per_fold,[5.960672725655359]
smape_per_fold,[5.767542362428532]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,eemd
nmodes,8
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.6916
std_r2test,0.0
avg_r2testadj,0.5827
std_r2testadj,0.0
avg_rmse,3975.552
std_rmse,0.0
avg_mae,3786.7865
std_mae,0.0
avg_maep,5.8145
std_maep,0.0
avg_mape,5.9607
std_mape,0.0
avg_smape,5.7675
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.92
