r2train_per_fold,[0]
r2test_per_fold,[0.8973303027583616]
r2testadj_per_fold,[0.8928385035040399]
rmse_per_fold,[2414.2150485538914]
mae_per_fold,[1853.2598118671192]
maep_per_fold,[2.8426001444632085]
mape_per_fold,[2.768260968014471]
smape_per_fold,[2.8156789067050965]
test_name,plotResults
name,['kfold_0']
model_name,['GradientBoostingRegressor']
decomposition,emd
nmodes,1
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8973
std_r2test,0.0
avg_r2testadj,0.8928
std_r2testadj,0.0
avg_rmse,2414.215
std_rmse,0.0
avg_mae,1853.2598
std_mae,0.0
avg_maep,2.8426
std_maep,0.0
avg_mape,2.7683
std_mape,0.0
avg_smape,2.8157
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,0.48
