r2train_per_fold,[0.2887814406376008]
r2test_per_fold,[0.169619989718222]
r2testadj_per_fold,[0.1386741508257333]
rmse_per_fold,[0.21984781823554067]
mae_per_fold,[0.1678476270960433]
maep_per_fold,[953.2717174063705]
mape_per_fold,[155.23824310147728]
smape_per_fold,[108.93621376278]
test_name,loadForecast_IMF_3
name,['IMF_3']
model_name,['GradientBoostingRegressor']
decomposition,emd
nmodes,6
algorithm,gbr
avg_r2train,0.2888
std_r2train,0.0
avg_r2test,0.1696
std_r2test,0.0
avg_r2testadj,0.1387
std_r2testadj,0.0
avg_rmse,0.2198
std_rmse,0.0
avg_mae,0.1678
std_mae,0.0
avg_maep,953.2717
std_maep,0.0
avg_mape,155.2382
std_mape,0.0
avg_smape,108.9362
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.63
