r2train_per_fold,[0]
r2test_per_fold,[0.9563943695777459]
r2testadj_per_fold,[0.941004147075774]
rmse_per_fold,[1494.8776037265268]
mae_per_fold,[1064.5542751606317]
maep_per_fold,[1.6345949940062794]
mape_per_fold,[1.625439190839353]
smape_per_fold,[1.6007913582359294]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,ewt
nmodes,8
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9564
std_r2test,0.0
avg_r2testadj,0.941
std_r2testadj,0.0
avg_rmse,1494.8776
std_rmse,0.0
avg_mae,1064.5543
std_mae,0.0
avg_maep,1.6346
std_maep,0.0
avg_mape,1.6254
std_mape,0.0
avg_smape,1.6008
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.83
