r2train_per_fold,"[0, 0, 0]"
r2test_per_fold,"[0.9145864455626718, 0.97596908723306, 0.8793416325095115]"
r2testadj_per_fold,"[0.9108496025560386, 0.9749177347995064, 0.8740628289318026]"
rmse_per_fold,"[2447.7429050109995, 1285.6928945817883, 2617.1796485177665]"
mae_per_fold,"[2023.541209257968, 1026.9668266232597, 2051.638731736138]"
maep_per_fold,"[3.082360797475418, 1.7273396317075247, 3.1468812510124295]"
mape_per_fold,"[3.0434288642229212, 1.7280160372183557, 3.0993928508599935]"
smape_per_fold,"[3.099313148349813, 1.726818013093655, 3.158843555218521]"
test_name,plotResults
name,"['kfold_0', 'kfold_1', 'kfold_2']"
model_name,['GradientBoostingRegressor']
decomposition,none
nmodes,6
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9233
std_r2test,0.0399
avg_r2testadj,0.9199
std_r2testadj,0.0417
avg_rmse,2116.8718
std_rmse,591.7888
avg_mae,1700.7156
std_mae,476.5504
avg_maep,2.6522
std_maep,0.6545
avg_mape,2.6236
std_mape,0.6337
avg_smape,2.6617
std_smape,0.6615
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
