r2train_per_fold,[0.7594828970550098]
r2test_per_fold,[0.7858111615405523]
r2testadj_per_fold,[0.7778289688029332]
rmse_per_fold,[0.1914037232385009]
mae_per_fold,[0.13394157504549056]
maep_per_fold,[603.1851187774115]
mape_per_fold,[1080.5595765601217]
smape_per_fold,[62.594477921047506]
test_name,loadForecast_Residual
name,['Residual']
model_name,['GradientBoostingRegressor']
decomposition,stl-a
nmodes,6
algorithm,gbr
avg_r2train,0.7595
std_r2train,0.0
avg_r2test,0.7858
std_r2test,0.0
avg_r2testadj,0.7778
std_r2testadj,0.0
avg_rmse,0.1914
std_rmse,0.0
avg_mae,0.1339
std_mae,0.0
avg_maep,603.1851
std_maep,0.0
avg_mape,1080.5596
std_mape,0.0
avg_smape,62.5945
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.94
