r2train_per_fold,[0.9939922923748632]
r2test_per_fold,[0.9892199140031372]
r2testadj_per_fold,[0.9888181716678505]
rmse_per_fold,[0.06638556708018982]
mae_per_fold,[0.05277947133689686]
maep_per_fold,[-3.327766504239247e+17]
mape_per_fold,[16.18570097039365]
smape_per_fold,[15.531887653110216]
test_name,loadForecast_Seasonal
name,['Seasonal']
model_name,['GradientBoostingRegressor']
decomposition,stl-a
nmodes,6
algorithm,gbr
avg_r2train,0.994
std_r2train,0.0
avg_r2test,0.9892
std_r2test,0.0
avg_r2testadj,0.9888
std_r2testadj,0.0
avg_rmse,0.0664
std_rmse,0.0
avg_mae,0.0528
std_mae,0.0
avg_maep,-3.327766504239247e+17
std_maep,0.0
avg_mape,16.1857
std_mape,0.0
avg_smape,15.5319
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.89
