r2train_per_fold,[0.9027605739255815]
r2test_per_fold,[0.7745241177487924]
r2testadj_per_fold,[0.7661212898388094]
rmse_per_fold,[0.2357019805734768]
mae_per_fold,[0.18508731548122204]
maep_per_fold,[57.37513654706138]
mape_per_fold,[73.11502124323698]
smape_per_fold,[50.083012729826336]
test_name,loadForecast_Trend
name,['Trend']
model_name,['GradientBoostingRegressor']
decomposition,stl-a
nmodes,6
algorithm,gbr
avg_r2train,0.9028
std_r2train,0.0
avg_r2test,0.7745
std_r2test,0.0
avg_r2testadj,0.7661
std_r2testadj,0.0
avg_rmse,0.2357
std_rmse,0.0
avg_mae,0.1851
std_mae,0.0
avg_maep,57.3751
std_maep,0.0
avg_mape,73.115
std_mape,0.0
avg_smape,50.083
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,1.58
