r2train_per_fold,[0]
r2test_per_fold,[0.8890144031531634]
r2testadj_per_fold,[0.8841587832911143]
rmse_per_fold,[2510.08323454005]
mae_per_fold,[1994.312377345061]
maep_per_fold,[3.0589519157782883]
mape_per_fold,[3.0691070333587414]
smape_per_fold,[3.11885411854869]
test_name,plotResults
name,['kfold_0']
model_name,['GradientBoostingRegressor']
decomposition,stl-a
nmodes,6
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.889
std_r2test,0.0
avg_r2testadj,0.8842
std_r2testadj,0.0
avg_rmse,2510.0832
std_rmse,0.0
avg_mae,1994.3124
std_mae,0.0
avg_maep,3.059
std_maep,0.0
avg_mape,3.0691
std_mape,0.0
avg_smape,3.1189
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,0.47
