r2train_per_fold,[0]
r2test_per_fold,[0.942337899716904]
r2testadj_per_fold,[0.921986570205223]
rmse_per_fold,[1719.0146545857983]
mae_per_fold,[1459.4894144903858]
maep_per_fold,[2.241007477398147]
mape_per_fold,[2.247685374973189]
smape_per_fold,[2.213812334219767]
test_name,finalTest
name,['none']
model_name,['GradientBoostingRegressor']
decomposition,stl-a
nmodes,9
algorithm,gbr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9423
std_r2test,0.0
avg_r2testadj,0.922
std_r2testadj,0.0
avg_rmse,1719.0147
std_rmse,0.0
avg_mae,1459.4894
std_mae,0.0
avg_maep,2.241
std_maep,0.0
avg_mape,2.2477
std_mape,0.0
avg_smape,2.2138
std_smape,0.0
model_params,"{'alpha': 0.9, 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'ls', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': 4242, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
duration,0.74
