r2train_per_fold,"[0.9326591990453119, 0.9945467919516983, 0.9984122313721853, 0.9911811146302649, 0.9959516283927765, 0.9785373452860989, 0.9955742718498438, 0.9951945134344085, 0.9865517204754685, 0.9974717794110547]"
r2test_per_fold,"[-6.129937777040595, -927.6229419156808, -41.05920984711595, -73.82589815056566, -38.26545719804448, -14.952661150966332, -281.8931388554717, -17.306565307699923, -16.830313850125787, -1.1100692569308293]"
r2testadj_per_fold,"[-6.251126521126271, -943.4069012683552, -41.77409726661367, -75.09772644774242, -38.93285873682144, -15.223811198858112, -286.7015208190208, -17.617725057972443, -17.133378674773816, -1.1459344567653473]"
rmse_per_fold,"[0.19877293230757392, 0.7762623135343396, 0.6211503384383028, 0.644205134901228, 0.6075440430614477, 0.26028003242290376, 0.40923973358367205, 0.43768132751758376, 0.9123548532306581, 0.1785477165604193]"
mae_per_fold,"[0.18562704615692532, 0.7513783303556759, 0.5114939054850212, 0.6043455998680451, 0.5896817254363214, 0.22581615800417942, 0.3583621852145873, 0.3961460652400755, 0.7923070054183968, 0.13223967401955947]"
maep_per_fold,"[-39.50667820590654, -135.18294643476392, -179.19086846258855, 92.73345988267343, 195.77305839601712, -35.56688913541356, -63.126333630372265, -196.3226015175568, 90.40797278643244, -127.53988786141855]"
mape_per_fold,"[40.30646083464238, 136.37291213058774, 159.69298552306762, 93.25951159118698, 208.6277145289772, 37.42212864644609, 62.01429973995422, 211.13397699920634, 88.32735618507593, 190.11751761075496]"
smape_per_fold,"[33.235543033447115, 185.48983595614078, 158.21370567524045, 150.34365130935976, 195.17164330229235, 30.63254784762057, 100.79562158344389, 191.33287603597333, 131.90972712160692, 99.36292449689493]"
test_name,loadForecast_IMF_7
name,['IMF_7']
model_name,['KNeighborsRegressor']
decomposition,ceemdan
nmodes,7
algorithm,knn
avg_r2train,0.9866
std_r2train,0.0189
avg_r2test,-141.8996
std_r2test,273.5029
avg_r2testadj,-144.3285
std_r2testadj,278.1517
avg_rmse,0.5046
std_rmse,0.236
avg_mae,0.4547
std_mae,0.2208
avg_maep,-39.7522
std_maep,123.0046
avg_mape,122.7275
std_mape,64.1067
avg_smape,127.6488
std_smape,57.6847
model_params,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
duration,0.18
