r2train_per_fold,[0]
r2test_per_fold,[0.9646408841387761]
r2testadj_per_fold,[0.952161196187756]
rmse_per_fold,[1346.1239434295785]
mae_per_fold,[1012.8505961666773]
maep_per_fold,[1.555205359464186]
mape_per_fold,[1.629197400528691]
smape_per_fold,[1.631546541151654]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,eemd
nmodes,1
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9646
std_r2test,0.0
avg_r2testadj,0.9522
std_r2testadj,0.0
avg_rmse,1346.1239
std_rmse,0.0
avg_mae,1012.8506
std_mae,0.0
avg_maep,1.5552
std_maep,0.0
avg_mape,1.6292
std_mape,0.0
avg_smape,1.6315
std_smape,0.0
model_params,"{'algorithm': 'brute', 'leaf_size': 35, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}"
duration,0.45
