r2train_per_fold,[0]
r2test_per_fold,[0.9789129306256952]
r2testadj_per_fold,[0.9714704355524111]
rmse_per_fold,[1039.5430133931081]
mae_per_fold,[745.1552929889085]
maep_per_fold,[1.1441662863954614]
mape_per_fold,[1.14009277068525]
smape_per_fold,[1.1327050912153458]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,emd
nmodes,6
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9789
std_r2test,0.0
avg_r2testadj,0.9715
std_r2testadj,0.0
avg_rmse,1039.543
std_rmse,0.0
avg_mae,745.1553
std_mae,0.0
avg_maep,1.1442
std_maep,0.0
avg_mape,1.1401
std_mape,0.0
avg_smape,1.1327
std_smape,0.0
model_params,"{'algorithm': 'auto', 'leaf_size': 6, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 4, 'p': 35, 'weights': 'distance'}"
duration,3.4
