r2train_per_fold,[0]
r2test_per_fold,[0.9667516006477143]
r2testadj_per_fold,[0.9550168714645546]
rmse_per_fold,[1305.328203492759]
mae_per_fold,[964.5796636217934]
maep_per_fold,[1.481086616498285]
mape_per_fold,[1.5524946820006624]
smape_per_fold,[1.5542356934148067]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,ewt
nmodes,9
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9668
std_r2test,0.0
avg_r2testadj,0.955
std_r2testadj,0.0
avg_rmse,1305.3282
std_rmse,0.0
avg_mae,964.5797
std_mae,0.0
avg_maep,1.4811
std_maep,0.0
avg_mape,1.5525
std_mape,0.0
avg_smape,1.5542
std_smape,0.0
model_params,"{'algorithm': 'brute', 'leaf_size': 35, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 11, 'p': 2, 'weights': 'distance'}"
duration,1.11
