r2train_per_fold,[0]
r2test_per_fold,[0.94756952280243]
r2testadj_per_fold,[0.9290646484974053]
rmse_per_fold,[1639.178525208123]
mae_per_fold,[1142.2902206596973]
maep_per_fold,[1.7539564867286153]
mape_per_fold,[1.7250058674268864]
smape_per_fold,[1.7018059960001897]
test_name,finalTest
name,['none']
model_name,['KNeighborsRegressor']
decomposition,none
nmodes,6
algorithm,knn
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9476
std_r2test,0.0
avg_r2testadj,0.9291
std_r2testadj,0.0
avg_rmse,1639.1785
std_rmse,0.0
avg_mae,1142.2902
std_mae,0.0
avg_maep,1.754
std_maep,0.0
avg_mape,1.725
std_mape,0.0
avg_smape,1.7018
std_smape,0.0
model_params,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 18, 'p': 2, 'weights': 'uniform'}"
