r2train_per_fold,"[0.9922185187142369, 0.9923590085683491, 0.9921350012983648, 0.9928165315363636, 0.9923072443687189, 0.9921866961191607, 0.9918426797501042, 0.9919477530486427, 0.992665037346663, 0.9922286979805329]"
r2test_per_fold,"[0.9952209097308012, 0.9950640866812402, 0.9847768818100928, 0.9937252604573183, 0.9947295787465013, 0.9947980787203908, 0.995449320506302, 0.9904851668144564, 0.9933013356816592, 0.9941584887257098]"
r2testadj_per_fold,"[0.9951396787347242, 0.9949801901375787, 0.9845181319258451, 0.9936186076605589, 0.9946399965155636, 0.9947096607949584, 0.9953719718463524, 0.9903234416045038, 0.9931874773646336, 0.9940591995822374]"
rmse_per_fold,"[0.04974318791003406, 0.05055274701075976, 0.08877952301278937, 0.05699789926956246, 0.052237653722591655, 0.05189707555135658, 0.04853992738293, 0.07018779307971885, 0.05889183753197681, 0.054995050778152525]"
mae_per_fold,"[0.03180756769673786, 0.032805210021288396, 0.05171792096957649, 0.03651411822066937, 0.03353071026052703, 0.032142738959633724, 0.03112196146113665, 0.038672212220222296, 0.03700350729871261, 0.03397202089541005]"
maep_per_fold,"[-3.223092375598285e+17, -8.182607905533339e+17, -5.989289389893294e+17, -9.866698152742129e+17, -6.795400240564991e+17, -6.51411122405731e+17, -4.2048256211824186e+17, -1.0449849632675151e+18, -5.216837687432876e+17, -1.3769674258103227e+18]"
mape_per_fold,"[9.966271775639603, 12.31006630723877, 16.76232905193863, 11.849313528139708, 12.14973272927393, 10.988412876070512, 10.691491285349118, 13.314288944218452, 13.864595623380396, 11.486785216071226]"
smape_per_fold,"[13.049519003786392, 14.20469528403672, 18.360126941286975, 13.393303459387763, 13.883818034760662, 13.301503105571951, 13.351544561719471, 16.89940648237722, 15.475864315054691, 13.784053695812212]"
test_name,loadForecast_SEASONAL
name,['SEASONAL']
model_name,['KNeighborsRegressor']
decomposition,stl-a
nmodes,1
algorithm,knn
avg_r2train,0.9923
std_r2train,0.0003
avg_r2test,0.9932
std_r2test,0.0031
avg_r2testadj,0.9931
std_r2testadj,0.0032
avg_rmse,0.0583
std_rmse,0.0118
avg_mae,0.0359
std_mae,0.0058
avg_maep,-7.421238648778301e+17
std_maep,3.035279815100508e+17
avg_mape,12.3383
std_mape,1.8443
avg_smape,14.5704
std_smape,1.6919
model_params,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}"
duration,0.16
