r2train_per_fold,[0]
r2test_per_fold,[-0.15247164135336155]
r2testadj_per_fold,[-0.559226338301607]
rmse_per_fold,[7685.099138644093]
mae_per_fold,[7305.738133865251]
maep_per_fold,[11.217768092974863]
mape_per_fold,[11.280383161520408]
smape_per_fold,[11.452011896302416]
test_name,finalTest
name,['none']
model_name,['LassoLars']
decomposition,none
nmodes,6
algorithm,lasso
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.1525
std_r2test,0.0
avg_r2testadj,-0.5592
std_r2testadj,0.0
avg_rmse,7685.0991
std_rmse,0.0
avg_mae,7305.7381
std_mae,0.0
avg_maep,11.2178
std_maep,0.0
avg_mape,11.2804
std_mape,0.0
avg_smape,11.452
std_smape,0.0
model_params,"{'alpha': 1.0, 'copy_X': True, 'eps': 2.220446049250313e-16, 'fit_intercept': True, 'fit_path': True, 'max_iter': 500, 'normalize': True, 'positive': False, 'precompute': 'auto', 'verbose': False}"
