r2train_per_fold,[0.0]
r2test_per_fold,[-0.15697090334311503]
r2testadj_per_fold,[-0.20008783141801367]
rmse_per_fold,[0.9406839504781601]
mae_per_fold,[0.8197984107210462]
maep_per_fold,[237.76247739237627]
mape_per_fold,[100.06393130121114]
smape_per_fold,[199.28910699878526]
test_name,loadForecast_DEMAND
name,['DEMAND']
model_name,['LassoLars']
decomposition,none
nmodes,6
algorithm,lasso
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.157
std_r2test,0.0
avg_r2testadj,-0.2001
std_r2testadj,0.0
avg_rmse,0.9407
std_rmse,0.0
avg_mae,0.8198
std_mae,0.0
avg_maep,237.7625
std_maep,0.0
avg_mape,100.0639
std_mape,0.0
avg_smape,199.2891
std_smape,0.0
model_params,"{'alpha': 1.0, 'copy_X': True, 'eps': 2.220446049250313e-16, 'fit_intercept': True, 'fit_path': True, 'max_iter': 500, 'normalize': True, 'positive': False, 'precompute': 'auto', 'verbose': False}"
