r2train_per_fold,[0]
r2test_per_fold,[-0.14605581881609764]
r2testadj_per_fold,[-0.1961957608893019]
rmse_per_fold,[8065.990334834875]
mae_per_fold,[7057.453901548389]
maep_per_fold,[10.824990296353718]
mape_per_fold,[10.652423111917757]
smape_per_fold,[10.92867704521122]
test_name,plotResults
name,['kfold_0']
model_name,['LassoLars']
decomposition,none
nmodes,6
algorithm,lasso
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.1461
std_r2test,0.0
avg_r2testadj,-0.1962
std_r2testadj,0.0
avg_rmse,8065.9903
std_rmse,0.0
avg_mae,7057.4539
std_mae,0.0
avg_maep,10.825
std_maep,0.0
avg_mape,10.6524
std_mape,0.0
avg_smape,10.9287
std_smape,0.0
model_params,"{'alpha': 1.0, 'copy_X': True, 'eps': 2.220446049250313e-16, 'fit_intercept': True, 'fit_path': True, 'max_iter': 500, 'normalize': True, 'positive': False, 'precompute': 'auto', 'verbose': False}"
