r2train_per_fold,"[0.9999826473701454, 0.9999511538370721, 0.9999639441722054, 0.9999860830473543, 0.9999848296637506, 0.9999753222732536, 0.9999461381006197, 0.9999515847602524, 0.9999560351615691, 0.9999536268601922, 0.9999738781210493, 0.999970471011166, 0.9999081919776754, 0.9999774162139501, 0.9999753332937773, 0.9999697945574411, 0.9999693752077309, 0.9999763434070587, 0.9999856236480322, 0.9999769331321102]"
r2test_per_fold,"[-4.193500123452633, -0.47122145384405445, 0.7754588348137906, 0.6939686225719126, -1.8688468198859605, -48.085140132013144, -0.10246574834273003, -0.5783123489332789, 0.5947964649599136, 0.47390654084334305, -0.4712402958280191, -2.044268429821147, 0.05483429729117173, -57.10777527019714, -0.2969513418537091, -27.529408831689572, -1.5368395524322596, 0.34599985235297503, 0.4943005070807459, -1.5854193463444823]"
r2testadj_per_fold,"[-4.281774913086389, -0.49622805079324506, 0.7716422710995774, 0.6887669561000471, -1.9176090887792063, -48.9194484628689, -0.1212045429321249, -0.605139187725346, 0.5879091527496005, 0.4649644423874225, -0.4962472130375606, -2.09601236913822, 0.03876915786835877, -58.0954428385291, -0.31899584058210073, -28.01432796197325, -1.5799586383092952, 0.33488370253461197, 0.48570504827758576, -1.6293641510982129]"
rmse_per_fold,"[0.17256922557851295, 0.13687317029935292, 0.03223242656286704, 0.06764625910864229, 0.2549235310153615, 0.12425118496601578, 0.0970081089868038, 0.07089220263849719, 0.09743764098492894, 0.06252820281897487, 0.329457853516447, 0.1062317373967056, 0.03151345369146168, 0.09316533236910049, 0.14122100792893327, 0.08758635612770743, 0.11636258905468931, 0.05371927629954266, 0.05014661070085808, 0.3737437789992616]"
mae_per_fold,"[0.14490957025523837, 0.11929399683466205, 0.026074914539282245, 0.05769649235184705, 0.22210514576840518, 0.10846744459293399, 0.07116102199283171, 0.055896090219692024, 0.08185745930577998, 0.05446581919143591, 0.2886353565135027, 0.09770374365601935, 0.02720974454336374, 0.08874628557674248, 0.1284902730843441, 0.07303272945246067, 0.1020085111701799, 0.04236953428864216, 0.04111775620783209, 0.338861889484674]"
maep_per_fold,"[504.6621464241623, -492.5587254851883, 56.10427035667224, -127.12263983377723, -437.1858624982476, -472.8700121390231, -777.889287375109, 143.6700483288028, -157.6324586733831, -362.62412230248293, 1381.604119319724, -996.8186296396144, 153.9115405290492, -412.6564209624954, -586.4922717515195, -234.40413853401037, 195.15189299668612, 87.07914338255105, -53.78789608187451, 973.3024583664422]"
mape_per_fold,"[1098.0733941493963, 6418.589882131704, 73.73640178198522, 109.9186369352342, 415.11651567768604, 716.9167080247578, 267.9573344414436, 197.1243680705772, 229.12172223642654, 706.3621540035698, 146.74056801307685, 627.3333104069433, 3317.5939619414253, 781.6505501724486, 132.180190871895, 518.1576900453375, 447.2938022984075, 230.15966587187182, 107.50869782596806, 478.5904727706133]"
smape_per_fold,"[149.5733141338069, 147.91673463163332, 48.74638764844431, 60.74812849924528, 145.63903888492473, 143.98719175471393, 96.62137651137229, 126.27482873781268, 79.23916951911222, 83.5332079151825, 169.40261631272537, 112.45610727509859, 134.6007964154369, 171.91484974896474, 181.1157030933726, 145.14181799975273, 175.01667101329633, 82.29271762136374, 83.86477207925411, 146.67188203445423]"
test_name,loadForecast_IMF_1
name,['IMF_1']
model_name,['RandomForestRegressor']
decomposition,ewt
nmodes,9
algorithm,rf
avg_r2train,1.0
std_r2train,0.0
avg_r2test,-7.1219
std_r2test,16.3554
avg_r2testadj,-7.26
std_r2testadj,16.6334
avg_rmse,0.125
std_rmse,0.091
avg_mae,0.1085
std_mae,0.0821
avg_maep,-80.8278
std_maep,551.091
avg_mape,851.0063
std_mape,1450.8246
avg_smape,124.2379
std_smape,39.3265
model_params,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'mse', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 4242, 'verbose': 0, 'warm_start': False}"
duration,3.18
