r2train_per_fold,[0]
r2test_per_fold,[-0.2147289387681024]
r2testadj_per_fold,[-0.6434567995097855]
rmse_per_fold,[7889.946156894807]
mae_per_fold,[7491.800802844468]
maep_per_fold,[11.503462410663817]
mape_per_fold,[11.884475944048155]
smape_per_fold,[11.125835589234896]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ceemdan
nmodes,9
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.2147
std_r2test,0.0
avg_r2testadj,-0.6435
std_r2testadj,0.0
avg_rmse,7889.9462
std_rmse,0.0
avg_mae,7491.8008
std_mae,0.0
avg_maep,11.5035
std_maep,0.0
avg_mape,11.8845
std_mape,0.0
avg_smape,11.1258
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,7.3
