r2train_per_fold,[0]
r2test_per_fold,[0.6991092594879225]
r2testadj_per_fold,[0.5929125275424834]
rmse_per_fold,[3926.7998171168647]
mae_per_fold,[3364.476555818865]
maep_per_fold,[5.166064956869551]
mape_per_fold,[5.314084732360977]
smape_per_fold,[5.2008542983005475]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,eemd
nmodes,6
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.6991
std_r2test,0.0
avg_r2testadj,0.5929
std_r2testadj,0.0
avg_rmse,3926.7998
std_rmse,0.0
avg_mae,3364.4766
std_mae,0.0
avg_maep,5.1661
std_maep,0.0
avg_mape,5.3141
std_mape,0.0
avg_smape,5.2009
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,0.7
