r2train_per_fold,[0]
r2test_per_fold,[-0.14573942741096402]
r2testadj_per_fold,[-0.5501180488501278]
rmse_per_fold,[7662.619839256105]
mae_per_fold,[7284.93533358422]
maep_per_fold,[11.18582594216667]
mape_per_fold,[11.25830289135768]
smape_per_fold,[11.418760907326531]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,emd
nmodes,6
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.1457
std_r2test,0.0
avg_r2testadj,-0.5501
std_r2testadj,0.0
avg_rmse,7662.6198
std_rmse,0.0
avg_mae,7284.9353
std_mae,0.0
avg_maep,11.1858
std_maep,0.0
avg_mape,11.2583
std_mape,0.0
avg_smape,11.4188
std_smape,0.0
model_params,"{'C': 1000000, 'cache_size': 200, 'coef0': 2, 'degree': 11, 'epsilon': 0.7000000000000001, 'gamma': 10, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1e-05, 'verbose': False}"
duration,3.42
