r2train_per_fold,[0]
r2test_per_fold,[0.9034930722141545]
r2testadj_per_fold,[0.8694318035838562]
rmse_per_fold,[2223.8915042771664]
mae_per_fold,[1872.8857735796548]
maep_per_fold,[2.8757666765059415]
mape_per_fold,[2.8868816874202414]
smape_per_fold,[2.890398321996559]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,ewt
nmodes,4
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9035
std_r2test,0.0
avg_r2testadj,0.8694
std_r2testadj,0.0
avg_rmse,2223.8915
std_rmse,0.0
avg_mae,1872.8858
std_mae,0.0
avg_maep,2.8758
std_maep,0.0
avg_mape,2.8869
std_mape,0.0
avg_smape,2.8904
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,3.27
