r2train_per_fold,[0]
r2test_per_fold,[0.8111715851710588]
r2testadj_per_fold,[0.744526262290256]
rmse_per_fold,[3110.770875251618]
mae_per_fold,[2931.323287369869]
maep_per_fold,[4.5009695448602836]
mape_per_fold,[4.56148819221586]
smape_per_fold,[4.5713108861829115]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,none
nmodes,6
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8112
std_r2test,0.0
avg_r2testadj,0.7445
std_r2testadj,0.0
avg_rmse,3110.7709
std_rmse,0.0
avg_mae,2931.3233
std_mae,0.0
avg_maep,4.501
std_maep,0.0
avg_mape,4.5615
std_mape,0.0
avg_smape,4.5713
std_smape,0.0
model_params,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': False, 'tol': 0.001, 'verbose': False}"
