r2train_per_fold,[0]
r2test_per_fold,[-0.5296599228459227]
r2testadj_per_fold,[-1.0695398956150717]
rmse_per_fold,[8853.842552560674]
mae_per_fold,[7781.630622081459]
maep_per_fold,[11.948488448971768]
mape_per_fold,[12.791282081396297]
smape_per_fold,[11.743728049466728]
test_name,finalTest
name,['none']
model_name,['SVR']
decomposition,stl-a
nmodes,9
algorithm,svr
avg_r2train,0.0
std_r2train,0.0
avg_r2test,-0.5297
std_r2test,0.0
avg_r2testadj,-1.0695
std_r2testadj,0.0
avg_rmse,8853.8426
std_rmse,0.0
avg_mae,7781.6306
std_mae,0.0
avg_maep,11.9485
std_maep,0.0
avg_mape,12.7913
std_mape,0.0
avg_smape,11.7437
std_smape,0.0
model_params,"{'C': 10000.0, 'cache_size': 750, 'coef0': 10.0, 'degree': 2.0, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 1, 'verbose': False}"
duration,2.0
