r2train_per_fold,[0]
r2test_per_fold,[0.8343707753626832]
r2testadj_per_fold,[0.7759134019612773]
rmse_per_fold,[2913.4182402711735]
mae_per_fold,[2773.753457893616]
maep_per_fold,[4.259025230250827]
mape_per_fold,[4.313250415109049]
smape_per_fold,[4.211959933776672]
test_name,finalTest
name,['none']
model_name,['XGBRegressor']
decomposition,ceemdan
nmodes,4
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8344
std_r2test,0.0
avg_r2testadj,0.7759
std_r2testadj,0.0
avg_rmse,2913.4182
std_rmse,0.0
avg_mae,2773.7535
std_mae,0.0
avg_maep,4.259
std_maep,0.0
avg_mape,4.3133
std_mape,0.0
avg_smape,4.212
std_smape,0.0
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,0.92
