r2train_per_fold,[0]
r2test_per_fold,[0.9602525511296813]
r2testadj_per_fold,[0.9462240397636865]
rmse_per_fold,[1427.213615550168]
mae_per_fold,[1216.1371982429528]
maep_per_fold,[1.8673465718530864]
mape_per_fold,[1.9012802964865567]
smape_per_fold,[1.8996477533616911]
test_name,finalTest
name,['none']
model_name,['XGBRegressor']
decomposition,eemd
nmodes,4
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9603
std_r2test,0.0
avg_r2testadj,0.9462
std_r2testadj,0.0
avg_rmse,1427.2136
std_rmse,0.0
avg_mae,1216.1372
std_mae,0.0
avg_maep,1.8673
std_maep,0.0
avg_mape,1.9013
std_mape,0.0
avg_smape,1.8996
std_smape,0.0
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,0.96
