r2train_per_fold,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
r2test_per_fold,"[0.9726588807104386, 0.956802610466556, 0.8818617676180933, 0.9814677436581425, 0.8694302520118574, 0.7948837139788782, 0.9826576947940792, 0.6004359007818212, 0.8431900169293247, 0.9124647458469269]"
r2testadj_per_fold,"[0.9714627067415202, 0.9549127246744679, 0.8766932199513849, 0.9806569574431863, 0.8637178255373762, 0.7859098764654542, 0.9818989689413201, 0.5829549714410259, 0.8363295801699826, 0.90863507847773]"
rmse_per_fold,"[1351.4213441346453, 1805.5387652537192, 2522.2973129239904, 1107.2755138260284, 2560.233595631299, 3602.559608038023, 1087.1910468110716, 4035.903907764993, 2960.428178837064, 2228.699266333664]"
mae_per_fold,"[1096.1760044642858, 1443.0101917410716, 1972.7549196949403, 866.6239388020833, 2156.161879910714, 3134.7576912202385, 888.186237723215, 3096.772351190476, 2217.579702566964, 1566.0965184151785]"
maep_per_fold,"[1.8661851358275343, 2.3842285318641143, 3.031037937406904, 1.491317789787625, 3.413895181876018, 5.172868633189548, 1.415246473175511, 4.820291118160386, 3.7665281417512575, 2.401921014565841]"
mape_per_fold,"[1.8947495703187445, 2.454590370168905, 3.100901242955446, 1.5193132452372027, 3.391015992653505, 5.411743423577712, 1.456507461801413, 4.8123805451947135, 3.7491189047075957, 2.4577155977033613]"
smape_per_fold,"[1.912384766015679, 2.4981514419559656, 3.048005551523748, 1.5300354645443548, 3.4030328482692176, 5.243100060852035, 1.4587123642224777, 4.876829433507448, 3.631524661500037, 2.5126669247573505]"
test_name,plotResults
name,"['kfold_0', 'kfold_1', 'kfold_2', 'kfold_3', 'kfold_4', 'kfold_5', 'kfold_6', 'kfold_7', 'kfold_8', 'kfold_9']"
model_name,['XGBRegressor']
decomposition,eemd
nmodes,5
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8796
std_r2test,0.111
avg_r2testadj,0.8743
std_r2testadj,0.1159
avg_rmse,2326.1549
std_rmse,964.3319
avg_mae,1843.8119
std_mae,784.5499
avg_maep,2.9764
std_maep,1.249
avg_mape,3.0248
std_mape,1.2731
avg_smape,3.0114
std_smape,1.2379
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,0.79
