r2train_per_fold,[0]
r2test_per_fold,[0.9753753640072226]
r2testadj_per_fold,[0.9666843160097718]
rmse_per_fold,[1123.3607876788067]
mae_per_fold,[842.5743699184046]
maep_per_fold,[1.2937507079559676]
mape_per_fold,[1.3584388828247256]
smape_per_fold,[1.3741865517123066]
test_name,finalTest
name,['none']
model_name,['XGBRegressor']
decomposition,eemd
nmodes,6
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.9754
std_r2test,0.0
avg_r2testadj,0.9667
std_r2testadj,0.0
avg_rmse,1123.3608
std_rmse,0.0
avg_mae,842.5744
std_mae,0.0
avg_maep,1.2938
std_maep,0.0
avg_mape,1.3584
std_mape,0.0
avg_smape,1.3742
std_smape,0.0
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,1.17
