r2train_per_fold,[0]
r2test_per_fold,[0.8219239101213318]
r2testadj_per_fold,[0.7590735254582724]
rmse_per_fold,[3020.905612409973]
mae_per_fold,[2590.6725218529373]
maep_per_fold,[3.977909284795701]
mape_per_fold,[3.9059522739008368]
smape_per_fold,[3.8418980869578157]
test_name,finalTest
name,['none']
model_name,['XGBRegressor']
decomposition,emd
nmodes,2
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.8219
std_r2test,0.0
avg_r2testadj,0.7591
std_r2testadj,0.0
avg_rmse,3020.9056
std_rmse,0.0
avg_mae,2590.6725
std_mae,0.0
avg_maep,3.9779
std_maep,0.0
avg_mape,3.906
std_mape,0.0
avg_smape,3.8419
std_smape,0.0
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,3.27
