r2train_per_fold,"[0.9973535328944758, 0.9934382788604754, 0.9939603481732043, 0.9949059184210918, 0.9981733972813008, 0.9980618224325293, 0.9926647974837864, 0.9959536709785555, 0.9936085878014284, 0.9932514233511508]"
r2test_per_fold,"[-4.256718022077746, -0.31951031282436704, -1.636416015950707, -2.144521818337153, -2.5069997759434846, -0.20389641896090405, -1.5901212348802503, -3.044004500061372, -0.8060728892919526, -2.8020046851123004]"
r2testadj_per_fold,"[-4.346067336900598, -0.34193825015282653, -1.6812276196212572, -2.1979697812550643, -2.566608837290966, -0.2243592476117977, -1.6341459584192917, -3.112741120459016, -0.8367710120561218, -2.8666279942076933]"
rmse_per_fold,"[0.052782053384675114, 0.00427803601496207, 0.041387121448059006, 0.06324863761354667, 0.07967037994973312, 0.025545670822912106, 0.028530237852636944, 0.04511521729589171, 0.02557065949293345, 0.036171215481999086]"
mae_per_fold,"[0.04215707679292953, 0.003089555692307322, 0.03477174462595368, 0.057304894771102885, 0.0716156497382884, 0.020909310485466303, 0.025807252902393628, 0.039923119991299286, 0.021985029940736405, 0.03246513278694473]"
maep_per_fold,"[784.5302584769337, -355.5447714655977, 934.8291700397185, 2327.1652591978, -825.5952035279898, 351.86252793829306, 559.5160542457097, 938.3435382490464, -778.5674835748805, -1035.2961097531384]"
mape_per_fold,"[399.68331479537056, 232.69285993550662, 194.0531164865954, 335.50225476609484, 693.7936856014385, 249.37749923475297, 266.96812060286857, 269.27648110165825, 227.5407977399225, 5241.072734020985]"
smape_per_fold,"[153.48027945709518, 110.3730215062404, 169.07472446522982, 184.14197322724286, 191.0306960360945, 125.17381764508147, 181.48892076144108, 182.23391612941137, 168.06162132122324, 191.99245863771165]"
test_name,loadForecast_IMF_6
name,['IMF_6']
model_name,['XGBRegressor']
decomposition,ewt
nmodes,9
algorithm,xgboost
avg_r2train,0.9951
std_r2train,0.002
avg_r2test,-1.931
std_r2test,1.2179
avg_r2testadj,-1.9808
std_r2testadj,1.2386
avg_rmse,0.0402
std_rmse,0.0204
avg_mae,0.035
std_mae,0.0184
avg_maep,290.1243
std_maep,993.3151
avg_mape,810.9961
std_mape,1483.0679
avg_smape,165.7051
std_smape,26.5809
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,0.89
