r2train_per_fold,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
r2test_per_fold,"[0.78794642112304, 0.9713344400526329, 0.7431416749793542, 0.8007680406745172, 0.8601665516337909, 0.9192452926819743, 0.9407486324547162, 0.8888229318172267, 0.8249738609008718, 0.42964107196576806, 0.06516817539586517, 0.8528412418626508, -0.3279097980648098, 0.4137238600214753, 0.8815973996703147, 0.9688754060370615, 0.8466228563637203, 0.8029128171715811, 0.9703930452601571, 0.9559338431910307]"
r2testadj_per_fold,"[0.7131039815194071, 0.961217183600621, 0.6524857955603028, 0.7304508785596409, 0.8108135698574818, 0.8907436312756123, 0.9198363850857925, 0.8495839665762479, 0.7631999294541206, 0.2283379208948627, -0.2647724685820647, 0.800902856637704, -0.796583844440625, 0.2068028694408196, 0.8398082466127788, 0.9578902552266125, 0.7924897468450333, 0.7333526349968451, 0.9599435318225655, 0.9403810819643357]"
rmse_per_fold,"[836.2953381848251, 255.6312608955148, 760.9987226820266, 601.7764355882986, 436.3746301076557, 430.3856086481442, 343.02344334250193, 618.8397470273023, 721.5963756604617, 1833.9914547040867, 3165.9449770920523, 1140.1248211888321, 1641.781517262117, 1443.2220282421233, 661.3595751015699, 183.48677642708248, 579.8610237307449, 750.5575444991478, 285.79136606137916, 340.04341945856595]"
mae_per_fold,"[737.8961347656249, 212.25396158854156, 642.5247604166665, 531.3011041666667, 360.4494309895833, 384.37497688802085, 262.3312421875001, 462.1427158203125, 593.0028906250001, 1643.9343046875, 3010.0343274739585, 1040.330541666667, 1249.229822591146, 1371.072402018229, 481.0763798828127, 139.9145390624999, 531.301200195313, 542.1772021484373, 229.09570507812478, 297.58172135416663]"
maep_per_fold,"[5.095139982559117, 1.6145507693239942, 4.920302389110404, 4.0876549413213965, 2.855814371294154, 3.3772126250299563, 2.2961516958510146, 4.142322450058507, 4.914189466459294, 10.972367607175142, 15.531592168693967, 6.33124296521213, 10.903598691986167, 11.175112922379444, 3.905502520312578, 1.2891837236367605, 4.288916220505964, 4.114785540739431, 1.5241042213655178, 2.1892319015583093]"
mape_per_fold,"[5.376945788844215, 1.5578641799187003, 4.942874933544492, 4.218287194929593, 2.846668854982089, 3.471548486276, 2.226632968978423, 3.694866743597373, 4.837583340099997, 10.783095651450623, 16.214881439327495, 6.129443500929559, 11.8915289444511, 11.334292722643642, 4.137867999147769, 1.2913511366465151, 4.395953413897302, 4.059439604569294, 1.5177834375660655, 2.273212122662803]"
smape_per_fold,"[5.201834976495954, 1.5679134731336026, 4.97836816497513, 4.105567621673019, 2.8025030781195603, 3.436097482573012, 2.1867848493648627, 3.809674609631001, 4.692838779954632, 11.521136038451624, 17.881267178436055, 6.346628840151712, 10.68815510816094, 10.676801148800623, 3.9811061983066462, 1.2886041111913626, 4.392331150274701, 4.038982002744447, 1.5191375793293602, 2.2903061437684418]"
test_name,finalTest
name,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']"
model_name,"['XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor']"
decomposition,none
nmodes,1
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.7298
std_r2test,0.3296
avg_r2testadj,0.6345
std_r2testadj,0.4459
avg_rmse,851.5543
std_rmse,694.0093
avg_mae,736.1013
std_mae,656.2503
avg_maep,5.2764
std_maep,3.7659
avg_mape,5.3601
std_mape,3.9359
avg_smape,5.3703
std_smape,4.1048
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,0.87
