r2train_per_fold,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
r2test_per_fold,"[0.7675171921938946, 0.9824916547693421, 0.6599134723063222, 0.8057200416264998, 0.9635666724050178, 0.9048198660524529, 0.9411700255651744, 0.877658224217502, 0.8501642917064931, 0.7565315090520183, -0.2235499318407037, 0.8389673170147767, -0.5492791013489788, -0.31758794171521876, 0.9673669752129128, 0.8562647067439785, 0.8716112723632776, 0.7679626669785091, 0.968201837622206, 0.8490641527176934]"
r2testadj_per_fold,"[0.6854644364976221, 0.9763122388055805, 0.5398829331203183, 0.7371506445534997, 0.9507078509009065, 0.8712268776003775, 0.9204065051764124, 0.8344787739413262, 0.797281100544079, 0.6706014534233189, -0.6553910842550699, 0.7821322524317567, -1.0960834900603835, -0.7826189799676491, 0.9558494370527644, 0.8055346032418532, 0.8262976037856109, 0.6860671376768065, 0.9569789567829846, 0.7957926772062911]"
rmse_per_fold,"[875.6535116787866, 199.78197313902572, 875.6525540139125, 594.250663727972, 222.74264847832507, 467.24748555463947, 341.8014830403457, 649.1693119147824, 667.6526074027073, 1198.242081599024, 3621.99183492845, 1192.6591871674873, 1773.3559065803536, 2163.5744536971542, 347.20477625884894, 394.30713279784186, 530.5264519392377, 814.3924456963526, 296.1783066714055, 629.3293487172036]"
mae_per_fold,"[765.2997265624998, 158.4188401692708, 751.7614140624997, 524.6816354166668, 200.0062021484376, 353.29954134114587, 264.9613802083334, 488.1529954427083, 550.156626953125, 1116.0278919270831, 3552.087712890625, 1119.6932125651044, 1124.8129016927085, 2095.4664042968748, 277.603519856771, 326.38629817708323, 495.9439300130213, 677.5954983723958, 243.4686328124998, 542.5126536458333]"
maep_per_fold,"[5.284360564767933, 1.2050435165329745, 5.75681080251921, 4.036726938475817, 1.5846344517047621, 3.104176242415005, 2.319172956401225, 4.375460313155415, 4.559124321006883, 7.448879347044506, 18.328554329260687, 6.814228258541307, 9.817655856299364, 17.079385201394096, 2.2536571982859814, 3.0073493866137184, 4.0034955033272785, 5.14252563207097, 1.6197229490316358, 3.9911255400898376]"
mape_per_fold,"[5.638274761490371, 1.17147442369157, 5.871001822258172, 4.1525739721319255, 1.6430919530141368, 2.9452297423109983, 2.2453192006874954, 3.917233754268884, 4.490349494135699, 7.524651145659658, 18.58985350519457, 6.636823923039382, 11.149994346233587, 17.386055788089593, 2.451437018984835, 3.112924499985581, 4.12107706614767, 5.110388962153719, 1.6400104984888464, 4.2503189377180774]"
smape_per_fold,"[5.448071093714799, 1.1793359094024334, 5.902273537658023, 4.043548055041243, 1.6559920114268964, 2.97784992850866, 2.2071288056872156, 4.041631041355187, 4.365792551930232, 7.860533631361598, 20.57346079276073, 6.878349489346733, 9.717437257449008, 15.923179799652019, 2.4239994178821624, 3.183968175754131, 4.141746637400716, 5.2850014707869075, 1.6322848872133904, 4.390325041821519]"
test_name,finalTest
name,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']"
model_name,"['XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor', 'XGBRegressor']"
decomposition,stl-a
nmodes,1
algorithm,xgboost
avg_r2train,0.0
std_r2train,0.0
avg_r2test,0.6769
std_r2test,0.4475
avg_r2testadj,0.5629
std_r2testadj,0.6055
avg_rmse,892.7857
std_rmse,798.2666
avg_mae,781.4169
std_mae,775.564
avg_maep,5.5866
std_maep,4.5451
avg_mape,5.7024
std_mape,4.6843
avg_smape,5.6916
std_smape,4.7415
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,1.08
