r2train_per_fold,"[0.9997407760224132, 0.9996959064777402, 0.9995972346935452, 0.9997542639221233, 0.9997953186364709, 0.9995560124102626, 0.9995275086965303, 0.9997087537136461, 0.9995719870031323, 0.999697796891789]"
r2test_per_fold,"[0.339713700848685, -0.8303764890044698, -4.355744113126775, -0.6069413062426263, -2.167237565378412, 0.02624941957722593, -3.4592784586760006, -4.617322189385295, -1.7916733526432895, -0.198375659877563]"
r2testadj_per_fold,"[0.3284907042625437, -0.8614877041150273, -4.446776590970289, -0.6342547562070902, -2.2210716316454673, 0.009698418210266513, -3.5350735599566123, -4.712800753510824, -1.83912389121513, -0.218744651263584]"
rmse_per_fold,"[0.29541366864357543, 0.31098476367773625, 0.853743599982597, 0.5594450083143075, 0.6316138625695793, 0.5271003516266273, 0.6400615316806233, 0.5017636036822742, 0.6735118883671128, 0.3226625030466604]"
mae_per_fold,"[0.20641256622189322, 0.22634670615744817, 0.6457313943875888, 0.44443391056699355, 0.5647748799577837, 0.3007818684926671, 0.5711551223142679, 0.414045686326362, 0.5378862540537149, 0.2631129369111125]"
maep_per_fold,"[-41.95866086143637, -45.35703147115216, -254.57522215610277, 47.31200050244216, 247.95970229378614, -56.261558089143904, -126.89047002595557, -194.5404122897117, 47.08708455839763, -936.6092377391263]"
mape_per_fold,"[89.26278899019431, 53.872833532728414, 388.00516654271246, 67.63796950601999, 1246.5972769063962, 101.24651220819958, 205.35971821319964, 2016.0771283919726, 52.36007395734516, 515.2030788531063]"
smape_per_fold,"[43.68059636316541, 72.08362817413973, 161.2039620853545, 60.47205419832816, 123.99113837863753, 47.0453752583022, 152.4698869616539, 153.46539249717048, 70.5947075067386, 111.3589997173229]"
test_name,loadForecast_TREND
name,['TREND']
model_name,['XGBRegressor']
decomposition,stl-a
nmodes,1
algorithm,xgboost
avg_r2train,0.9997
std_r2train,0.0001
avg_r2test,-1.7661
std_r2test,1.7375
avg_r2testadj,-1.8131
std_r2testadj,1.767
avg_rmse,0.5316
std_rmse,0.1719
avg_mae,0.4175
std_mae,0.152
avg_maep,-131.3834
std_maep,299.3826
avg_mape,473.5623
std_mape,621.4943
avg_smape,99.6366
std_smape,43.8673
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,0.68
