r2train_per_fold,"[0.9998350145600876, 0.9998153467948772, 0.9997234343904321, 0.9998580532446419, 0.999693232980798, 0.9998206689222062, 0.9998682779286725, 0.9997246938808636, 0.9998130756590452, 0.9997490389678038]"
r2test_per_fold,"[0.9195679229880016, 0.8730457831545271, 0.5332562735124433, 0.9660450729311492, 0.5512121921479762, -0.18405895223973223, 0.9695294913400376, 0.12271578161104835, 0.36722895644792397, 0.7478723956155928]"
r2testadj_per_fold,"[0.9165704542794799, 0.8683145701043853, 0.5158620973700498, 0.9647796719223721, 0.53448718067523, -0.2281853728200951, 0.9683939444334552, 0.09002195980773331, 0.34364742687455474, 0.7384763358248696]"
rmse_per_fold,"[0.12599519569521814, 0.21857514406552436, 0.22971763040476112, 0.0773765565356334, 0.2775344242627939, 0.4314889499282218, 0.08116080745817879, 0.3624379434282096, 0.2950442670678676, 0.23046448399816732]"
mae_per_fold,"[0.10309380993201625, 0.169633105896519, 0.2002574813534545, 0.06232249006603358, 0.23459179377891934, 0.41296241491529273, 0.062054288373197715, 0.32705429932077756, 0.27357972743067716, 0.17651658018051497]"
maep_per_fold,"[-26.151709484048446, -90.60363167218625, 60.05239565126759, -13.390810992409044, 215.48220984518323, -212.864769653849, 94.66668323709841, 136.01135059014854, -72.0198970795832, 52.05473390531583]"
mape_per_fold,"[88.68359259893145, 53.5713078436758, 194.6250967261782, 28.473948498629042, 343.7996266098323, 601.5159699444275, 31.62396537747118, 544.452196630785, 132.37249375007602, 82.25218598630374]"
smape_per_fold,"[55.43968495630541, 63.21009687558152, 52.60539349719093, 23.86499191126156, 84.8574281181304, 138.7001204063954, 17.78517619124002, 102.15281853855917, 132.3231324869271, 47.047094265174245]"
test_name,loadForecast_Trend
name,['Trend']
model_name,['XGBRegressor']
decomposition,stl-a
nmodes,9
algorithm,xgboost
avg_r2train,0.9998
std_r2train,0.0001
avg_r2test,0.5866
std_r2test,0.3703
avg_r2testadj,0.5712
std_r2testadj,0.3841
avg_rmse,0.233
std_rmse,0.11
avg_mae,0.2022
std_mae,0.1081
avg_maep,14.3237
std_maep,117.3577
avg_mape,210.137
std_mape,202.3819
avg_smape,71.7986
std_smape,39.7095
model_params,"{'objective': 'reg:squarederror', 'base_score': 0.5, 'booster': None, 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'gpu_id': -1, 'importance_type': 'gain', 'interaction_constraints': None, 'learning_rate': 0.300000012, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 1, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 100, 'n_jobs': 0, 'num_parallel_tree': 1, 'random_state': 4242, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'subsample': 1, 'tree_method': None, 'validate_parameters': False, 'verbosity': None}"
duration,1.4
