id,r2score,duration (min),optimizer,neurons_width,hidden_layers,activation,batch_normalization,batch_size,epochs
D8ina,0.901196956,2.72,Adam,16,8,LeakyReLU_0.05,none,30,60
QmWoh,0.899594613,3.67,Adam,16,8,LeakyReLU_0.05,none,20,60
mm6Jz,0.899307362,2.68,Adam,32,8,relu,none,10,20
vaacj,0.896757981,6.02,Adam,128,2,relu,none,10,60
hJ30W,0.895407787,2.41,Adam,64,2,relu,none,30,60
z2ib5,0.894402121,5.71,Adam,32,4,LeakyReLU_0.01,none,10,60
RH5KA,0.892670434,3.07,Adam,64,2,LeakyReLU_0.01,none,20,60
Su2hl,0.891992122,2.41,Adam,32,4,LeakyReLU_0.1,none,10,20
xroqH,0.891881775,1.39,Adam,32,8,LeakyReLU_0.01,none,30,20
VX9dj,0.891066683,5.60,Adam,64,2,LeakyReLU_0.1,none,10,60
cb1PF,0.890801777,2.74,Adam,128,2,LeakyReLU_0.05,none,30,60
U18em,0.890698901,4.12,Adam,128,2,LeakyReLU_0.1,BatchNorm,30,60
uU4Qv,0.890430366,6.52,Adam,16,8,LeakyReLU_0.05,none,10,60
kc9ex,0.889778566,2.74,Adam,16,8,LeakyReLU_0.01,none,10,20
OBmKj,0.88974252,1.63,Adam,64,4,LeakyReLU_0.01,none,20,20
cALoL,0.889394851,2.34,Adam,32,4,LeakyReLU_0.1,none,10,20
vvbD3,0.889079438,3.18,Adam,64,2,relu,none,20,60
gd2hG,0.888793553,4.23,Adam,128,4,LeakyReLU_0.05,none,20,60
PO6Pt,0.888567227,1.57,Adam,128,4,LeakyReLU_0.05,none,30,20
STyV2,0.888470853,2.80,Adam,16,8,LeakyReLU_0.1,none,10,20
wZmw3,0.888086794,4.20,Adam,128,4,relu,none,20,60
i3NCw,0.887784361,1.87,Adam,128,4,relu,none,20,20
U8UBF,0.887448757,4.86,Adam,16,32,LeakyReLU_0.05,none,30,60
xq3Ov,0.887419935,3.21,Adam,16,2,LeakyReLU_0.1,BatchNorm,30,60
GtocJ,0.887293991,3.38,Adam,16,16,LeakyReLU_0.05,none,10,20
XXpRn,0.886963884,3.36,Adam,32,16,LeakyReLU_0.05,none,10,20
SxuAc,0.886904211,1.72,Adam,32,16,relu,none,30,20
LuU2y,0.88681236,2.46,Adam,128,2,LeakyReLU_0.1,none,10,20
pWEkY,0.886433881,1.85,Adam,64,8,LeakyReLU_0.01,none,20,20
gHH47,0.886199931,1.58,Adam,128,4,relu,none,30,20
Szdma,0.886185664,3.23,Adam,128,4,LeakyReLU_0.01,none,10,20
xzHjX,0.88606263,6.56,Adam,32,8,relu,none,10,60
xjc41,0.885637024,1.84,Adam,128,4,LeakyReLU_0.1,none,20,20
GnY5I,0.885582884,2.90,Adam,64,8,LeakyReLU_0.05,none,10,20
v6hSV,0.885151697,5.23,Adam,64,2,LeakyReLU_0.01,none,10,60
LkqHe,0.884804118,3.40,Adam,128,2,LeakyReLU_0.01,none,20,60
eEJtQ,0.884659859,2.53,Adam,16,8,LeakyReLU_0.01,none,10,20
f4joj,0.884068025,8.62,Adam,16,16,LeakyReLU_0.01,none,10,60
GmO66,0.883986198,3.56,Adam,64,4,LeakyReLU_0.05,none,20,60
b654s,0.882995758,3.48,Adam,64,4,relu,none,20,60
il2Q7,0.882792507,2.75,Adam,32,8,LeakyReLU_0.01,none,30,60
KhgeQ,0.882715575,5.84,Adam,32,4,relu,none,10,60
nVUyK,0.882270391,3.66,Adam,16,8,LeakyReLU_0.1,none,20,60
KKHTn,0.88207055,2.72,Adam,16,8,LeakyReLU_0.1,none,30,60
CuJ4l,0.881626533,3.20,Adam,32,4,LeakyReLU_0.01,none,20,60
jAVoC,0.881309404,2.93,Adam,64,8,relu,none,10,20
GHG5H,0.880754369,2.85,Adam,64,8,LeakyReLU_0.01,none,10,20
GInEA,0.880372201,2.46,Adam,64,4,LeakyReLU_0.01,none,10,20
SKa7G,0.880223805,4.43,Adam,16,32,relu,none,10,20
sQjwl,0.880088928,2.16,Adam,32,16,relu,none,20,20
hdK0p,0.879495637,6.03,Adam,128,2,relu,none,10,60
Hk5l5,0.879427618,5.94,Adam,64,4,LeakyReLU_0.1,none,10,60
ZJH5h,0.879133878,1.59,Adam,32,2,LeakyReLU_0.01,BatchNorm,30,20
h019n,0.87912297,2.07,Adam,16,2,LeakyReLU_0.1,BatchNorm,20,20
gWmZl,0.87810733,4.55,Adam,32,32,LeakyReLU_0.05,none,10,20
TSqvx,0.87808162,1.70,Adam,64,2,LeakyReLU_0.1,BatchNorm,30,20
