reward,id,parameter
0.9552767390476806,F9X8p,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 0.01, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.9573147775104364,rz2bR,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.9542750408126215,PHpjR,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.9556115607524124,Vywut,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1.5, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.95}"
0.9554396896311754,CcmXa,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.01, 'subsample': 0.95}"
0.9571628239721759,Vp4Nq,"{'colsample_bytree': 0.6, 'gamma': 0.3, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 0.01, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9565089673249492,iKqv0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9570337999476619,dLsK7,"{'colsample_bytree': 0.8, 'gamma': 0.03, 'learning_rate': 0.03, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9551944098736447,lAJku,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.9559511166192447,o5mKE,"{'colsample_bytree': 0.4, 'gamma': 0.3, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 1e-05, 'subsample': 0.6}"
0.9524904891101871,JPsPg,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1.5, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9551594771211482,LDu9X,"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.9542051058422419,dJszr,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1.5, 'n_estimators': 2000, 'reg_alpha': 0.01, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9559113380503877,mbTRX,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 0.01, 'subsample': 0.95}"
0.9571927662664095,mzIXE,"{'colsample_bytree': 0.8, 'gamma': 0.03, 'learning_rate': 0.07, 'max_depth': 5, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 0.01, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9575797606933023,fBDzt,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9551213655066146,bWDaL,"{'colsample_bytree': 0.6, 'gamma': 0, 'learning_rate': 0.07, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 0.01, 'reg_lambda': 0.01, 'subsample': 0.6}"
0.9572557993390033,yhmWm,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 1.5, 'n_estimators': 1000, 'reg_alpha': 0.01, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9534019016859585,TqeBi,"{'colsample_bytree': 0.4, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 10, 'n_estimators': 1000, 'reg_alpha': 1e-05, 'reg_lambda': 1e-05, 'subsample': 0.6}"
0.9550612793079045,Ky4r4,"{'colsample_bytree': 0.4, 'gamma': 0.1, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 2000, 'reg_alpha': 1e-05, 'reg_lambda': 1e-05, 'subsample': 0.95}"
0.9575305948729349,yr47Q,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9576098986495625,m7LUh,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.6}"
0.9564048640608774,qXG4u,"{'colsample_bytree': 0.6, 'gamma': 0.03, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 1.5, 'n_estimators': 2000, 'reg_alpha': 0.75, 'reg_lambda': 0.45, 'subsample': 0.6}"
