timestamp,timestamp,duration (min),id,r2 score,
1.60657E+12,1.60657E+12,1.3294,AAwFn,0.902956259,
1.60646E+12,1.60646E+12,1.358516667,i6R55,0.902756684,
1.60646E+12,1.60646E+12,1.637933333,GpPWn,0.902754438,
1.60676E+12,1.60676E+12,0.913516667,Qwimd,0.902751755,
1.60645E+12,1.60645E+12,1.313583333,iD0g7,0.902714986,
1.60646E+12,1.60646E+12,1.428,Wna6q,0.902653745,
1.60656E+12,1.60656E+12,1.229533333,oxaEo,0.902466778,
1.60645E+12,1.60646E+12,1.29185,ZItlf,0.902437545,
1.60647E+12,1.60647E+12,0.633683333,Wsi0d,0.902411427,
1.60651E+12,1.60651E+12,1.7333,yoZG7,0.902362129,
1.60646E+12,1.60646E+12,1.556683333,k3B3Z,0.902341428,
1.60649E+12,1.60649E+12,1.347066667,yhsxo,0.902341428,
1.60648E+12,1.60648E+12,1.694433333,idtoK,0.902309086,
1.60645E+12,1.60645E+12,1.676483333,ZywRo,0.902296317,
1.60649E+12,1.60649E+12,1.0238,Q455d,0.902276537,
1.60651E+12,1.60651E+12,1.642666667,sfwwh,0.902148717,
1.60656E+12,1.60656E+12,0.503783333,epcXO,0.902139838,
1.60647E+12,1.60647E+12,1.38115,g0Av1,0.902080554,
1.60677E+12,1.60677E+12,0.908683333,g0wYk,0.902078515,
1.60649E+12,1.60649E+12,0.902016667,xW9V4,0.902075052,
1.60674E+12,1.60674E+12,1.00635,rDXEj,0.902015249,
1.60674E+12,1.60674E+12,0.5656,t2ZQL,0.901974986,
1.60645E+12,1.60645E+12,1.0236,LlHkF,0.901791401,
1.60645E+12,1.60645E+12,0.901283333,h7q1w,0.901773556,
1.60647E+12,1.60647E+12,0.5547,pIFvB,0.901698473,
1.60648E+12,1.60648E+12,1.56225,YDtBh,0.901625174,
1.6065E+12,1.6065E+12,1.53215,SjpyF,0.901625174,
1.60645E+12,1.60645E+12,0.9022,IkczU,0.901569892,
1.60656E+12,1.60656E+12,0.745516667,Hhc6c,0.901529174,
1.60645E+12,1.60645E+12,0.938566667,etl3C,0.90152703,
1.60645E+12,1.60645E+12,0.979733333,eLMeR,0.901511594,
1.60646E+12,1.60646E+12,0.906183333,GE5Ws,0.901511594,
1.60655E+12,1.60655E+12,1.011666667,e3nBr,0.901510102,
1.60646E+12,1.60646E+12,0.76645,kK47w,0.901376351,
1.60655E+12,1.60655E+12,1.958133333,aiJQl,0.901371981,
1.60657E+12,1.60657E+12,0.751366667,YxYr5,0.901353048,
1.60655E+12,1.60655E+12,0.756366667,shBCE,0.901312747,
1.6065E+12,1.6065E+12,2.060833333,KBstZ,0.901268989,
1.60675E+12,1.60675E+12,1.28315,gUa9R,0.901244447,
1.60676E+12,1.60676E+12,1.4043,PwBMr,0.901244447,
1.60648E+12,1.60648E+12,1.194783333,LDItr,0.90123514,
1.60652E+12,1.60652E+12,2.510733333,T6MSk,0.901221902,
1.60676E+12,1.60676E+12,0.9657,Yzttm,0.901207098,
1.60674E+12,1.60674E+12,0.862966667,AmpGQ,0.901173878,
1.60645E+12,1.60645E+12,0.89495,Mcuxb,0.901036775,
1.60645E+12,1.60645E+12,1.603983333,sOLKY,0.901005254,
1.60674E+12,1.60674E+12,1.326633333,zj8cS,0.901005254,
1.60645E+12,1.60645E+12,0.74685,Uzk38,0.900969415,
1.60675E+12,1.60675E+12,0.793066667,hbNlU,0.900934055,
1.60645E+12,1.60645E+12,0.9137,HKuGP,0.900933292,
1.6065E+12,1.6065E+12,1.016483333,r0pn3,0.900924022,
1.60645E+12,1.60645E+12,1.603016667,EseL3,0.900907225,
1.60648E+12,1.60648E+12,1.739666667,taWrr,0.900871627,
1.60649E+12,1.60649E+12,0.734016667,ynvPD,0.900824649,
1.60645E+12,1.60645E+12,1.571983333,nyXG4,0.900816968,
1.60649E+12,1.60649E+12,1.695816667,A1tXF,0.900816968,
1.60645E+12,1.60645E+12,2.984433333,aSVxB,0.900750707,
1.60676E+12,1.60676E+12,0.597733333,FvX7m,0.900732087,
1.60647E+12,1.60647E+12,1.521816667,j5hIb,0.900694459,
1.60645E+12,1.60645E+12,0.5167,A7xqZ,0.900543362,
1.60649E+12,1.60649E+12,0.877216667,nblcl,0.900539288,
1.60649E+12,1.60649E+12,0.61785,MYIvH,0.900476077,
1.60652E+12,1.60652E+12,1.350566667,J5yOo,0.900442712,
1.60647E+12,1.60647E+12,1.552133333,ajbTb,0.900435612,
1.60674E+12,1.60674E+12,2.360016667,bPmQg,0.900409928,
1.6065E+12,1.6065E+12,0.712033333,HphIf,0.900310936,
1.60656E+12,1.60656E+12,0.732466667,W41Ca,0.900281505,
1.60648E+12,1.60648E+12,1.546233333,zqFWI,0.900264871,
1.60645E+12,1.60645E+12,0.8059,BDFgz,0.900239333,
1.60657E+12,1.60657E+12,0.778033333,cdQ63,0.900239333,
1.6065E+12,1.6065E+12,0.53595,GRIKJ,0.900235594,
1.60645E+12,1.60645E+12,1.612566667,WGqYm,0.900188683,
1.60646E+12,1.60646E+12,0.5972,xpQBP,0.900178156,
1.6065E+12,1.6065E+12,0.674383333,j8jH3,0.900141678,
1.60677E+12,1.60677E+12,0.55085,fOTlC,0.900123508,
1.60675E+12,1.60675E+12,0.521,V0Hef,0.900109321,
1.6065E+12,1.6065E+12,0.706066667,MMN9B,0.900094783,
1.60647E+12,1.60647E+12,0.592916667,O9eUi,0.900038532,
1.60657E+12,1.60657E+12,0.439916667,Zsjdz,0.900034682,
1.6065E+12,1.6065E+12,0.551266667,tEain,0.89996567,
1.60658E+12,1.60658E+12,0.812083333,cYFFr,0.899944783,
1.60649E+12,1.60649E+12,1.48435,v9oEA,0.899855871,
