id,duration (min),r2 score,subsample,max_depth,learning_rate,n_estimators,gamma,colsample_bytree,reg_lambda,min_child_weight,reg_alpha
AAwFn,1.33,0.9030,0.95,5,0.01,2000,0.03,0.6,1,1.5,1
i6R55,1.36,0.9028,0.1,5,0.01,2000,0,0.8,1,1.5,1.00E-05
GpPWn,1.64,0.9028,0.1,5,0.01,2000,0,0.8,1,1.5,0.01
Qwimd,0.91,0.9028,0.6,7,0.01,1000,0.3,0.8,1,1.5,1.00E-05
iD0g7,1.31,0.9027,0.1,5,0.01,2000,0,0.8,1,1.5,1
Wna6q,1.43,0.9027,0.1,5,0.01,2000,0,0.8,1,1.5,0.75
oxaEo,1.23,0.9025,0.6,5,0.01,2000,0,0.8,1.00E-05,10,1.00E-05
ZItlf,1.29,0.9024,0.1,5,0.01,2000,0,0.8,1,6,0.75
Wsi0d,0.63,0.9024,0.6,5,0.05,500,0.1,0.6,0.01,1.5,0.75
yoZG7,1.73,0.9024,0.6,5,0.01,2000,0.1,0.8,0.01,10,1.00E-05
k3B3Z,1.56,0.9023,0.1,5,0.01,2000,0,0.8,1,6,0.01
yhsxo,1.35,0.9023,0.1,5,0.01,2000,0,0.8,1,6,0.01
idtoK,1.69,0.9023,0.95,5,0.01,2000,0.03,0.6,0.45,6,0.01
ZywRo,1.68,0.9023,0.95,5,0.01,2000,0,0.6,0.01,6,0.01
Q455d,1.02,0.9023,0.1,7,0.01,1000,0.1,0.8,0.45,6,0.01
sfwwh,1.64,0.9021,0.95,5,0.01,2000,0,0.8,1,10,0.01
epcXO,0.50,0.9021,0.95,5,0.05,500,0,0.6,1,6,0.75
g0Av1,1.38,0.9021,0.1,5,0.01,2000,0.7,0.8,0.01,1.5,0.01
g0wYk,0.91,0.9021,0.95,7,0.01,1000,0.3,0.8,0.45,6,0.01
xW9V4,0.90,0.9021,0.1,7,0.01,1000,0.3,0.8,0.01,1.5,0.01
rDXEj,1.01,0.9020,0.95,7,0.01,1000,0.1,0.8,0.45,1.5,0.01
t2ZQL,0.57,0.9020,0.95,5,0.05,500,0.03,0.6,1.00E-05,1.5,1.00E-05
LlHkF,1.02,0.9018,0.6,5,0.01,1000,0.3,0.8,1.00E-05,6,0.75
h7q1w,0.90,0.9018,0.6,5,0.01,1000,0.3,0.8,1.00E-05,6,1
pIFvB,0.55,0.9017,0.95,5,0.05,500,0.03,0.6,0.01,1.5,0.75
YDtBh,1.56,0.9016,0.6,5,0.01,2000,0.3,0.8,1.00E-05,6,1
SjpyF,1.53,0.9016,0.6,5,0.01,2000,0.3,0.8,1.00E-05,6,1
IkczU,0.90,0.9016,0.95,5,0.01,1000,0.3,0.8,1.00E-05,6,0.75
Hhc6c,0.75,0.9015,0.6,5,0.01,1000,0.3,0.8,0.45,6,1
etl3C,0.94,0.9015,0.95,5,0.01,1000,0.3,0.8,0.01,6,0.75
eLMeR,0.98,0.9015,0.95,5,0.01,1000,0.3,0.8,0.01,6,0.01
GE5Ws,0.91,0.9015,0.95,5,0.01,1000,0,0.8,0.01,6,0.01
e3nBr,1.01,0.9015,0.1,5,0.01,2000,0.03,0.8,1,10,0.01
kK47w,0.77,0.9014,0.1,5,0.01,1000,0,0.8,1.00E-05,6,0.75
aiJQl,1.96,0.9014,0.95,5,0.01,4000,0.7,0.6,0.01,6,1.00E-05
YxYr5,0.75,0.9014,0.95,5,0.01,1000,0.7,0.8,0.45,6,0.75
shBCE,0.76,0.9013,0.6,5,0.01,1000,0.3,0.8,1,10,1
KBstZ,2.06,0.9013,0.6,5,0.01,2000,0.7,0.8,0.01,1.5,0.01
gUa9R,1.28,0.9012,0.6,5,0.01,2000,0.03,0.8,1.00E-05,1.5,1.00E-05
PwBMr,1.40,0.9012,0.6,5,0.01,2000,0.3,0.8,1.00E-05,1.5,1.00E-05
LDItr,1.19,0.9012,0.95,7,0.01,1000,0,0.8,0.01,10,0.75
T6MSk,2.51,0.9012,0.95,5,0.01,4000,0.1,0.6,0.45,6,1.00E-05
Yzttm,0.97,0.9012,0.6,7,0.01,1000,0.7,0.8,0.01,10,0.01
AmpGQ,0.86,0.9012,0.95,7,0.01,1000,0.03,0.8,0.01,10,1
Mcuxb,0.89,0.9010,0.95,5,0.01,1000,0,0.8,1,1.5,0.01
sOLKY,1.60,0.9010,0.6,5,0.01,2000,0,0.6,1.00E-05,6,1
zj8cS,1.33,0.9010,0.6,5,0.01,2000,0.3,0.6,1.00E-05,6,1
Uzk38,0.75,0.9010,0.1,5,0.01,1000,0,0.8,1,1.5,0.01
hbNlU,0.79,0.9009,0.95,5,0.01,1000,0.1,0.8,1,10,0.75
HKuGP,0.91,0.9009,0.1,5,0.01,1000,0,0.8,1,1.5,0.75
r0pn3,1.02,0.9009,0.95,5,0.01,1000,0.7,0.8,1,10,1.00E-05
EseL3,1.60,0.9009,0.6,5,0.01,2000,0.03,0.6,0.45,10,1
taWrr,1.74,0.9009,0.6,5,0.01,2000,0.1,0.6,0.45,6,1
ynvPD,0.73,0.9008,0.6,5,0.05,500,0.3,0.6,0.01,6,1
nyXG4,1.57,0.9008,0.6,5,0.01,2000,0.1,0.6,1.00E-05,10,0.01
A1tXF,1.70,0.9008,0.6,5,0.01,2000,0.7,0.6,1.00E-05,10,0.01
aSVxB,2.98,0.9008,0.6,5,0.01,4000,0.7,0.6,0.01,1.5,0.75
FvX7m,0.60,0.9007,0.95,5,0.05,500,0.3,0.8,0.01,10,1
j5hIb,1.52,0.9007,0.95,5,0.01,2000,0.1,0.6,1.00E-05,10,0.01
A7xqZ,0.52,0.9005,0.1,5,0.05,500,0.7,0.8,0.45,6,1.00E-05
nblcl,0.88,0.9005,0.1,7,0.01,1000,0,0.8,0.01,10,0.01
MYIvH,0.62,0.9005,0.95,5,0.05,500,0.7,0.8,0.45,10,1.00E-05
J5yOo,1.35,0.9004,0.95,5,0.01,2000,0.03,0.6,0.01,10,0.75
ajbTb,1.55,0.9004,0.95,5,0.01,2000,0.03,0.8,1,6,0.75
bPmQg,2.36,0.9004,0.6,5,0.01,4000,0.3,0.6,1,1.5,0.01
