id,duration (min),r2 score,subsample,max_depth,learning_rate,n_estimators,gamma,colsample_bytree,reg_lambda,min_child_weight,reg_alpha
zihIV,1.46,0.9619,0.1,12,0.01,1000,0.70,0.8,0.45,1.5,1.00
fixzE,1.47,0.9619,0.1,12,0.01,1000,0.03,0.8,0.45,1.5,0.01
VqFpm,0.59,0.9613,0.1,5,0.05,500,0.00,0.8,0.45,1.5,1.00E-05
gfzss,0.94,0.9609,0.1,7,0.01,1000,0.03,0.8,0.45,1.5,0.01
NnXKQ,1.86,0.9607,0.6,12,0.01,1000,0.30,0.8,1.00,10.0,0.01
wsSNB,0.96,0.9605,0.1,7,0.01,1000,0.10,0.8,0.01,1.5,0.01
SC0Ps,1.01,0.9605,0.1,7,0.01,1000,0.03,0.8,0.01,1.5,0.01
bo2US,5.70,0.9604,0.1,12,0.01,4000,0.10,0.8,1.00,1.5,1.00
aONKG,4.18,0.9602,0.6,12,0.01,2000,0.10,0.8,1.00,1.5,0.75
qcdIG,3.75,0.9601,0.6,12,0.01,2000,0.30,0.8,1.00,1.5,1.00
r0Rdx,3.42,0.9601,0.1,7,0.01,4000,0.10,0.6,0.45,1.5,1.00
UqKTA,1.70,0.9599,0.1,5,0.01,2000,0.10,0.8,1.00E-05,6.0,1.00E-05
jM6Ne,3.55,0.9598,0.1,7,0.01,4000,0.03,0.8,0.01,1.5,0.75
k3yik,1.52,0.9597,0.1,12,0.01,1000,0.30,0.8,1.00E-05,6.0,1.00E-05
F4EdE,1.31,0.9597,0.1,3,0.05,2000,0.03,0.6,1.00,1.5,0.01
lgNOe,2.76,0.9596,0.1,5,0.01,4000,0.03,0.4,0.45,1.5,0.01
IAGjD,1.50,0.9595,0.1,12,0.01,1000,0.03,0.8,0.01,1.5,0.01
VvqW7,2.60,0.9594,0.1,12,0.01,2000,0.10,0.6,0.45,1.5,1.00E-05
edeLZ,5.22,0.9594,0.1,12,0.01,4000,0.10,0.8,1.00,6.0,0.75
py8ZV,0.84,0.9594,0.1,5,0.05,1000,0.03,0.6,0.45,1.5,1.00
nrOCa,8.35,0.9593,0.95,12,0.01,4000,0.00,0.8,1.00,1.5,0.75
eyu8u,2.00,0.9591,0.6,5,0.01,2000,0.03,0.8,0.45,6.0,0.01
D42JB,2.65,0.9591,0.1,12,0.01,2000,0.10,0.8,0.01,10.0,1.00
l9Ygz,3.56,0.9591,0.6,5,0.01,4000,0.70,0.8,0.01,10.0,0.75
DMq7p,0.75,0.9589,0.1,12,0.05,500,0.30,0.8,1.00,1.5,0.75
HpdRA,0.78,0.9589,0.1,12,0.01,500,0.30,0.8,0.45,1.5,0.75
mLVge,0.70,0.9589,0.6,7,0.05,500,0.30,0.8,0.01,1.5,1.00
NKluq,0.82,0.9588,0.1,5,0.05,1000,0.10,0.6,1.00E-05,1.5,1.00E-05
t9oBa,0.74,0.9587,0.1,12,0.05,500,0.03,0.8,1.00,1.5,0.01
oTCEM,3.52,0.9587,0.6,5,0.01,4000,0.30,0.8,1.00,1.5,0.01
XszWu,1.57,0.9587,0.95,3,0.05,2000,0.03,0.6,1.00E-05,6.0,1.00E-05
rupHy,1.84,0.9587,0.6,5,0.01,2000,0.30,0.8,1.00,1.5,0.01
GdqD2,3.76,0.9587,0.6,5,0.01,4000,0.30,0.6,0.01,6.0,1.00
gxT4a,1.95,0.9586,0.6,5,0.01,2000,0.70,0.8,0.45,1.5,0.75
vnUMT,4.33,0.9586,0.6,7,0.01,4000,0.70,0.8,0.45,10.0,1.00
oJYbv,1.53,0.9586,0.95,3,0.05,2000,0.70,0.6,1.00E-05,6.0,0.01
x9Xma,0.77,0.9586,0.95,7,0.05,500,0.10,0.8,0.45,6.0,0.75
dSPDM,1.90,0.9584,0.1,7,0.01,2000,0.03,0.4,1.00,1.5,1.00
FHIwC,4.49,0.9584,0.6,7,0.01,4000,0.10,0.6,1.00,10.0,0.01
e0DTY,0.46,0.9584,0.1,5,0.05,500,0.70,0.6,0.01,1.5,0.75
V8PAb,0.73,0.9584,0.95,7,0.1,500,0.30,0.8,1.00,6.0,1.00
rwJ5q,1.12,0.9583,0.6,12,0.05,500,0.03,0.8,0.45,6.0,1.00
DNRQ0,0.47,0.9583,0.1,5,0.05,500,0.00,0.8,0.01,10.0,0.01
rBuOe,0.89,0.9583,0.6,3,0.05,1000,0.70,0.6,0.01,1.5,0.01
