id,r2score,duration (min),colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
q5Kyd,0.9590,1.47,0.6,0.03,0.07,3,1.5,1000,0.75,0.45,0.95
TkQwh,0.9590,1.48,0.6,0.3,0.07,3,1.5,1000,0.75,0.45,0.95
Z7G86,0.9590,1.45,0.6,0,0.07,3,1.5,1000,0.75,0.45,0.95
wTYsS,0.9587,1.45,0.6,0,0.07,3,6,1000,1.00E-05,0.45,0.95
DPU1m,0.9584,1.60,0.6,0.3,0.1,3,6,1000,0.01,0.45,0.6
fX5Dh,0.9584,1.78,0.8,0.03,0.1,5,1.5,1000,1.00E-05,0.01,0.95
xPlAb,0.9584,1.75,0.8,0.1,0.1,5,1.5,1000,1.00E-05,0.01,0.95
SvzgR,0.9584,1.78,0.8,0.3,0.1,5,1.5,1000,1.00E-05,0.01,0.95
dKoQ2,0.9583,1.65,0.6,0.3,0.07,3,1.5,1000,1.00E-05,0.45,0.95
JpL5G,0.9582,1.53,0.6,0.03,0.07,3,6,1000,0.01,0.01,0.6
L37wp,0.9582,1.44,0.6,0.03,0.1,3,6,1000,1.00E-05,1.00E-05,0.95
FXOZk,0.9582,1.45,0.6,0.1,0.1,3,6,1000,1.00E-05,1.00E-05,0.95
UH6lp,0.9582,1.45,0.6,0.1,0.1,3,6,1000,1.00E-05,1.00E-05,0.95
qbC08,0.9581,1.80,0.8,0.03,0.1,5,6,1000,1.00E-05,0.01,0.95
or4II,0.9581,1.75,0.8,0.1,0.1,5,6,1000,1.00E-05,0.01,0.95
Jo3eR,0.9581,1.78,0.8,0.3,0.1,5,6,1000,1.00E-05,0.01,0.95
o79Sg,0.9581,1.46,0.6,0.03,0.1,3,6,1000,1.00E-05,0.01,0.95
a4GCC,0.9580,2.08,0.6,0.1,0.07,5,6,1000,0.01,1.00E-05,0.95
vCNvK,0.9580,1.76,0.8,0.03,0.1,5,1.5,1000,0.01,0.01,0.95
U5fla,0.9580,1.76,0.8,0.3,0.1,5,1.5,1000,0.01,0.01,0.95
EXUGS,0.9579,1.51,0.6,0.3,0.07,3,1.5,1000,1.00E-05,0.45,0.6
uMK3N,0.9579,1.48,0.6,0.1,0.1,3,1.5,1000,1.00E-05,1.00E-05,0.95
yy1K5,0.9578,1.52,0.6,0.1,0.1,3,1.5,1000,1.00E-05,1.00E-05,0.6
bL4gw,0.9578,1.54,0.6,0.03,0.1,3,1.5,1000,1.00E-05,1.00E-05,0.6
elv5V,0.9578,1.71,0.6,0.03,0.07,3,6,1000,1.00E-05,1.00E-05,0.6
Bvdw3,0.9577,1.84,0.6,0.1,0.07,5,10,1000,0.01,0.01,0.6
Dg2FR,0.9577,1.45,0.6,0.3,0.1,3,10,1000,0.75,0.45,0.95
IcxTe,0.9576,1.45,0.6,0.1,0.1,3,6,1000,0.75,0.01,0.95
pgAUR,0.9576,1.61,0.4,0.1,0.1,3,1.5,1000,0.01,0.01,0.95
XQVXs,0.9576,1.45,0.6,0.1,0.07,3,6,1000,0.75,0.01,0.95
NPj84,0.9576,1.53,0.6,0.03,0.1,3,6,1000,0.75,1.00E-05,0.6
